Comment,Designator,Footprint,LCSC
1n,C16,C0603,
100,R5,R0603,
24.9k,R41,R0603,
10kB,R19,ALPS_POT_VERTICAL_PS,
10kB,R36,ALPS_POT_VERTICAL_PS,
1.0k,R3,R0603,
200k,R32,R0603,
100n,C11,C0603,
MMBT3904,Q2,SOT23-BEC,
100,R18,R0603,
100p,C22,C0603,
8MHz,Q5,HC49UP,
100,R13,R0603,
TL074D,IC9,SO14,
330,R51,R0603,
1u,C6,C0603,
LM4040B25,IC3,DBZ_R-PDSO-G3,
100,R17,R0603,
100n,C4,C0603,
100n,C28,C0603,
47u,C30,PANASONIC_D,
MMBT3904,Q6,SOT23-BEC,
100n,C7,C0603,
74595D,IC2,SO16,
1.0k,R55,R0603,
LM4040B10,IC8,DBZ_R-PDSO-G3,
10k,R27,R0603,
1.0k,R23,R0603,
10k,R22,R0603,
100n,C1,C0603,
1.0k,R1,R0603,
100,R12,R0603,
PJ301_THONKICONN6,J4,WQP_PJ_301M6,
24.9k,R53,R0603,
PJ301_THONKICONN6,J3,WQP_PJ_301M6,
EVQQ2,SW2,EVQ-Q2,
MCP3204,IC4,SO14,
MMBT3904,Q3,SOT23-BEC,
24.9k,R50,R0603,
PJ301_THONKICONN6,J5,WQP_PJ_301M6,
24.9k,R42,R0603,
100,R7,R0603,
DAC8551,IC5,MSOP-8,
200k,R28,R0603,
PJ301_THONKICONN6,J1,WQP_PJ_301M6,
100n,C18,C0603,
100,R14,R0603,
100n,C3,C0603,
PJ301_THONKICONN6,J2,WQP_PJ_301M6,
47u,C25,PANASONIC_D,
470n,C8,C0603,
STM32F103CBT6,UC1,LQFP48,
100n,C26,C0603,
1n,C17,C0603,
1.0k,R2,R0603,
1n,C13,C0603,
100,R16,R0603,
100n,C27,C0603,
24.9k,R35,R0603,
24.9k,R34,R0603,
100,R8,R0603,
47p,C29,C0603,
74595D,IC1,SO16,
100,R6,R0603,
MMBT3904,Q4,SOT23-BEC,
100k,R47,R0603,
EC12E_SW,SW1,ALPS_EC12E_SW,
10kB,R20,ALPS_POT_VERTICAL_PS,
Conn_02x03_Odd_Even,J7,PinHeader_2x03_P2.54mm_Horizontal_SMD,
KINGBRIGHT-PDC54-11,DISP1,PDC54,
39k,R46,R0603,
100n,C5,C0603,
100k,R56,R0603,
22u,C19,PANASONIC_C,
24.9k,R44,R0603,
24.9k,R52,R0603,
49.9k,R25,R0603,
100k,R24,R0603,
24.9k,R30,R0603,
24.9k,R43,R0603,
1n,C14,C0603,
10kB,R38,ALPS_POT_VERTICAL_PS,
4.7,R49,R1206,
10kB,R37,ALPS_POT_VERTICAL_PS,
LM1117-3.3,IC6,TO252,
MCP6004,IC7,SO14,
39k,R45,R0603,
1N5819HW,D2,SOD123,
10kB,R21,ALPS_POT_VERTICAL_PS,
24.9k,R31,R0603,
EVQQ2,SW3,EVQ-Q2,
100,R10,R0603,
1u,C12,C0603,
49.9k,R26,R0603,
PJ301_THONKICONN6,J6,WQP_PJ_301M6,
10u,C24,PANASONIC_B,
10k,R33,R0603,
100p,C21,C0603,
100,R4,R0603,
100k,R48,R0603,
200k,R40,R0603,
1N5819HW,D1,SOD123,
100,R9,R0603,
KINGBRIGHT-PDC54-11,DISP2,PDC54,
18p,C10,C0603,
18p,C9,C0603,
MMBT3904,Q1,SOT23-BEC,
100n,C31,C0603,
120k,R39,R0603,
100k,R29,R0603,
100n,C20,C0603,
100n,C23,C0603,
22u,C15,PANASONIC_C,
100n,C2,C0603,
1.0k,R11,R0603,
100,R15,R0603,
100k,R54,R0603,
TL072,IC10,SO08,
M05X2PTH,JP1,AVR_ICSP,
M05X2MINIJTAG,JP2,AVR_ICSP,
