Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C0603,170.4186,-81.5086,90.0,top
C2,100n,C0603,132.6361,-83.4136,90.0,top
C3,100n,C0603,142.4786,-87.5411,0.0,top
C4,100n,C0603,131.3661,-95.4786,-90.0,top
C5,100n,C0603,139.3036,-96.7486,0.0,top
C6,1u,C0603,153.9086,-99.6061,90.0,top
C7,100n,C0603,155.1786,-99.6061,90.0,top
C8,470n,C0603,183.4361,-101.1936,-90.0,top
C9,18p,C0603,130.7311,-104.6861,180.0,top
C10,18p,C0603,138.3511,-104.6861,0.0,top
C11,100n,C0603,168.5136,-107.2261,-90.0,top
C12,1u,C0603,170.1011,-107.2261,-90.0,top
C13,1n,C0603,157.4011,-109.7661,180.0,top
C14,1n,C0603,163.7511,-109.7661,0.0,top
C15,22u,PANASONIC_C,174.7048,-111.1949,90.0,top
C16,1n,C0603,157.4011,-119.9261,180.0,top
C17,1n,C0603,163.7511,-119.9261,0.0,top
C18,100n,C0603,160.5761,-119.9261,0.0,top
C19,22u,PANASONIC_C,183.2773,-125.7998,90.0,top
C20,100n,C0603,135.4936,-127.8636,-90.0,top
C21,100p,C0603,161.2111,-130.7211,-90.0,top
C22,100p,C0603,165.3386,-131.6736,0.0,top
C23,100n,C0603,158.0361,-132.6261,90.0,top
C24,10u,PANASONIC_B,153.5911,-135.4836,90.0,top
C25,47u,PANASONIC_D,171.0536,-135.8011,180.0,top
C26,100n,C0603,123.4286,-134.8486,180.0,top
C27,100n,C0603,165.3386,-139.6111,90.0,top
C28,100n,C0603,135.1761,-140.5636,-90.0,top
C29,47p,C0603,161.5286,-142.1511,-90.0,top
C30,47u,PANASONIC_D,171.0536,-143.1036,180.0,top
C31,100n,C0603,120.8886,-104.6861,180.0,top
D1,1N5819HW,SOD123,179.6261,-135.8011,90.0,top
D2,1N5819HW,SOD123,179.6261,-142.1511,90.0,top
DISP1,KINGBRIGHT-PDC54-11,PDC54,125.3186,-68.1736,0.0,top
DISP2,KINGBRIGHT-PDC54-11,PDC54,150.7186,-68.1736,0.0,top
IC1,74595D,SO16,163.7511,-85.3186,0.0,top
IC2,74595D,SO16,176.4511,-85.3186,0.0,top
IC3,LM4040B25,DBZ_R-PDSO-G3,182.4836,-97.7011,0.0,top
IC4,MCP3208,SOIC-16_3.9x9.9mm_P1.27mm,161.3,-102.1461,90.0,top
IC5,DAC8551,MSOP-8,168.8311,-102.1461,0.0,top
IC6,LM1117-3.3,TO252,182.8013,-111.0361,0.0,top
