Footprint;Designator;Comment;LCSC;Description
ALPS_EC12E_SW;SW1;EC12E_SW;;
ALPS_POT_VERTICAL_PS;R19,R20,R21,R36,R37,R38;10kB;;
AVR_ICSP;JP2;M05X2MINIJTAG;;
AVR_ICSP;JP1;M05X2PTH;;
C0603;C1,C11,C18,C2,C20,C23,C26,C27,C28,C3,C31,C4,C5,C7;100n;C14663;50V 100nF X7R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C0603;C21,C22;100p;C14858;50V 100pF C0G ±5% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C0603;C10,C9;18p;C1647;50V 18pF C0G ±5% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C0603;C13,C14,C16,C17;1n;C1588;50V 1nF X7R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C0603;C12,C6;1u;C15849;50V 1uF X5R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C0603;C8;470n;C1623;25V 470nF X7R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C0603;C29;47p;C1671;50V 47pF C0G ±5% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
DBZ_R-PDSO-G3;IC8;LM4040B10;C129965;10V -40℃~+85℃@(TA) ±0.1% 103μA 15mA 100ppm/℃ Fixed SOT-23(SOT-23-3)  Voltage References ROHS
DBZ_R-PDSO-G3;IC3;LM4040B25;C134019;2.5V -40℃~+85℃@(TA) ±0.5% 65μA 15mA 100ppm/℃ Fixed SOT-23(SOT-23-3)  Voltage References ROHS
EVQ-Q2;SW2,SW3;EVQQ2;;
HC49UP;Q5;8MHz;C12674;8MHz 49SMD 20pF ±20ppm ±30ppm -20℃~+70℃ HC-49S/SMD  Crystals ROHS
LQFP48;UC1;STM32F103CBT6;C8304;20KB 128K@x8bit 2V~3.6V -40℃~+85℃ ARM Cortex-M3 1@x10ch/12bit Internal oscillator included  72MHz 37 LQFP-48_7x7x05P  Microcontroller Units (MCUs/MPUs/SOCs) ROHS
