Comment,Designator,Footprint,LCSC
8MHz,Q3,HC49UP,
18p,C6,C0603,
,SW5,EVQ-Q2,
10k,R17,R0603,
18p,C7,C0603,
,SW4,EVQ-Q2,
10k,R13,R0603,
100n,C18,C0603,
100n,C25,C0603,
100n,C17,C0603,
100n,C14,C0603,
1u,C12,C0603,
100n,C32,C0603,
M05X2MINIJTAG,JP2,2X5-1.27,
100n,C8,C0603,
STM32F405RGT6,IC5,TQFP-10X10-64,
2.2u,C24,C0805,
2.2u,C19,C0805,
100n,C30,C0603,
,JP1,1X06,
MCP6004,IC4,SO14,
100k,R21,R0603,
33k,R25,R0603,
200k,R22,R0603,
1n,C10,C0603,
100k,R24,R0603,
33k,R26,R0603,
200k,R23,R0603,
1n,C11,C0603,
100k,R38,R0603,
47k,R34,R0603,
180k,R36,R0603,
1n,C20,C0603,
100k,R39,R0603,
33k,R35,R0603,
1n,C21,C0603,
LM4040B10,IC6,DBZ_R-PDSO-G3,
470,R30,R0603,
100n,C16,C0603,
47u,C1,PANASONIC_D,
47u,C13,PANASONIC_D,
47u,C4,PANASONIC_D,
100n,C3,C0603,
1N5819HW,D1,SOD123,
1N5819HW,D2,SOD123,
M05X2PTH,JP3,AVR_ICSP,
200k,R37,R0603,
100n,C23,C0603,
WM8731,IC8,SSOP28,
100n,C29,C0603,
100n,C34,C0603,
10u,C35,PANASONIC_B,
5.6k,R53,R0603,
5.6k,R54,R0603,
220p,C43,C0603,
5.6k,R55,R0603,
5.6k,R56,R0603,
220p,C44,C0603,
10u,C36,PANASONIC_B,
10u,C37,PANASONIC_B,
10u,C41,PANASONIC_B,
39k,R50,R0603,
5.6k,R52,R0603,
TL072D,IC10,SO08,
39k,R48,R0603,
18p,C42,C0603,
1.0k,R62,R0603,
10u,C33,PANASONIC_B,
39k,R59,R0603,
5.6k,R51,R0603,
39k,R49,R0603,
18p,C40,C0603,
1.0k,R61,R0603,
100n,C39,C0603,
100n,C46,C0603,
2.2k,R40,R0603,
2.2k,R41,R0603,
10kB,R43,ALPS_POT_VERTICAL_PS,
100k,R32,R0603,
66.5k,R31,R0603,
200k,R33,R0603,
1n,C22,C0603,
100k,R29,R0603,
66.5k,R27,R0603,
1n,C9,C0603,
10kB,R18,ALPS_POT_VERTICAL_PS,
200k,R28,R0603,
MCP6002,IC3,SO08,
LP4OA1PBCT,SW1,LP4OA1PBCT,
MMBT3904,Q1,SOT23-BEC,
100k,R12,R0603,
MMBT3904,Q2,SOT23-BEC,
100k,R15,R0603,
10k,R16,R0603,
10k,R14,R0603,
68,R2,R0603,
100n,C15,C0603,
10kB,R19,ALPS_POT_VERTICAL_PS,
10kB,R44,ALPS_POT_VERTICAL_PS,
10kB,R20,ALPS_POT_VERTICAL_PS,
10kB,R45,ALPS_POT_VERTICAL_PS,
,SW2,TACTILE-PTH,
,SW3,TACTILE-PTH,
WP59EGW,LED4,LED-BICOLOR-THROUGHHOLE-5MM,
WP59EGW,LED3,LED-BICOLOR-THROUGHHOLE-5MM,
WP59EGW,LED2,LED-BICOLOR-THROUGHHOLE-5MM,
WP59EGW,LED1,LED-BICOLOR-THROUGHHOLE-5MM,
74HC595D,IC1,SO16,
68,R10,R0603,
68,R9,R0603,
68,R8,R0603,
68,R7,R0603,
68,R6,R0603,
68,R5,R0603,
68,R3,R0603,
68,R4,R0603,
PTV112-4420A-A503,R42,BOURNS_PTV112,
3.3k,R47,R0603,
3.3k,R46,R0603,
TL072D,IC9,SO08,
22k,R58,R0603,
22k,R57,R0603,
100n,C38,C0603,
100n,C45,C0603,
100n,C5,C0603,
47u,C27,PANASONIC_D,
100n,C26,C0603,
LM1117-3.3,IC7,SOT223,
68,R1,R0603,
FIDUCIAL1X2,F4,FIDUCIAL-1X2,
FIDUCIAL1X2,F1,FIDUCIAL-1X2,
FIDUCIAL1X2,F3,FIDUCIAL-1X2,
FIDUCIAL1X2,F2,FIDUCIAL-1X2,
PJ301_THONKICONN6,J8,WQP_PJ_301M6,
PJ301_THONKICONN6,J12,WQP_PJ_301M6,
PJ301_THONKICONN6,J7,WQP_PJ_301M6,
PJ301_THONKICONN6,J11,WQP_PJ_301M6,
PJ301_THONKICONN6,J3,WQP_PJ_301M6,
PJ301_THONKICONN6,J5,WQP_PJ_301M6,
PJ301_THONKICONN6,J6,WQP_PJ_301M6,
PJ301_THONKICONN6,J9,WQP_PJ_301M6,
PJ301_THONKICONN6,J4,WQP_PJ_301M6,
PJ301_THONKICONN6,J10,WQP_PJ_301M6,
PJ301_THONKICONN6,J1,WQP_PJ_301M6,
PJ301_THONKICONN6,J2,WQP_PJ_301M6,
LM1117-3.3,IC2,TO252,
47u,C2,PANASONIC_D,
4.7,R11,R1206,
12.288MHz,Q4,HC49UP,
18p,C47,C0603,
18p,C48,C0603,
10u,C49,PANASONIC_A,
10u,C28,PANASONIC_A,
10u,C31,PANASONIC_B,
1u,C50,C0603,
