Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,47u,PANASONIC_D,119.6086,-69.1261,90.0,top
C2,47u,PANASONIC_D,126.5936,-69.1261,90.0,top
C3,100n,C0603,157.8673,-71.6661,0.0,top
C4,47u,PANASONIC_D,140.8811,-71.9836,90.0,top
C5,100n,C0603,145.0086,-73.8886,90.0,top
C6,18p,C0603,158.3436,-81.1911,180.0,top
C7,18p,C0603,162.7886,-81.1911,0.0,top
C8,100n,C0603,161.8362,-85.0011,135.0,top
C9,1n,C0603,125.9586,-86.9061,-90.0,top
C10,1n,C0603,133.8961,-87.5411,180.0,top
C11,1n,C0603,140.2461,-87.5411,0.0,top
C12,1u,C0603,153.8986,-87.5411,45.0,top
C13,47u,PANASONIC_D,109.7661,-90.0811,90.0,top
C14,100n,C0603,154.8511,-88.4936,45.0,top
C15,100n,C0603,125.3236,-91.0336,-90.0,top
C16,100n,C0603,112.3061,-96.1136,90.0,top
C17,100n,C0603,153.5811,-95.1611,90.0,top
C18,100n,C0603,170.6626,-95.4786,-45.0,top
C19,2.2u,C0805,169.7736,-97.3836,-45.0,top
C20,1n,C0603,133.8961,-97.7011,180.0,top
C21,1n,C0603,140.2461,-97.7011,0.0,top
C22,1n,C0603,127.5461,-98.3361,-90.0,top
C23,100n,C0603,136.4361,-99.2886,-90.0,top
C24,2.2u,C0805,157.7086,-100.8761,135.0,top
C25,100n,C0603,160.2487,-101.9556,-135.0,top
C26,100n,C0603,145.3261,-102.1461,180.0,top
C27,47u,PANASONIC_D,148.1836,-106.2736,180.0,top
C28,10u,PANASONIC_B,172.399996,-107.2,-90.0,top
C29,100n,C0603,172.8,-111.6,0.0,top
C30,100n,C0603,167.3,-112.3,180.0,top
C31,10u,PANASONIC_B,188.8236,-114.8461,90.0,top
C32,100n,C0603,164.5,-119.8,-90.0,top
C33,10u,PANASONIC_B,162.7886,-124.6886,0.0,top
C34,100n,C0603,175.7,-123.6,-90.0,top
C35,10u,PANASONIC_B,179.2986,-122.4661,90.0,top
C36,10u,PANASONIC_B,184.0611,-122.4661,90.0,top
C37,10u,PANASONIC_B,188.8236,-122.4661,90.0,top
C38,100n,C0603,114.8461,-122.7836,180.0,top
C39,100n,C0603,151.9936,-123.1011,180.0,top
C40,18p,C0603,144.6911,-124.3711,180.0,top
C41,10u,PANASONIC_B,167.8686,-127.2286,0.0,top
C42,18p,C0603,155.8036,-125.0061,90.0,top
C43,220p,C0603,185.6486,-127.5461,-90.0,top
C44,220p,C0603,190.4111,-127.5461,-90.0,top
C45,100n,C0603,114.8461,-129.7686,180.0,top
C46,100n,C0603,148.5011,-130.0861,180.0,top
C47,18p,C0603,176.2824,-97.1,180.0,top
C48,18p,C0603,184.2199,-97.3836,0.0,top
C49,10u,PANASONIC_B,160.6,-120.1,0.0,top
C50,1u,C0603,167.3,-111.03,180.0,top
D1,1N5819HW,SOD123,114.5971,-70.0786,-90.0,top
D2,1N5819HW,SOD123,111.9886,-84.2976,0.0,top
IC1,74595D,SO16,150.8823,-68.8086,180.0,top
IC2,LM1117-3.3,TO252,133.8959,-72.6186,180.0,top
IC3,MCP6002,SO08,128.556622,-92.6211,0.0,top
IC4,MCP6004,SO14,137.0711,-92.6211,0.0,top
IC5,STM32F405RGT6,TQFP-10X10-64,161.8361,-93.56462,-45.0,top
IC6,LM4040B10,DBZ_R-PDSO-G3,111.3536,-99.6061,180.0,top
IC7,LM1117-3.3,SOT223,148.8186,-114.8461,0.0,top
