"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R40,R41";"R0603";2;"2.2k";;;
2;"R42";"Potentiometer_Alpha_RD902F-40-00D_Dual_Vertical_CircularHoles";1;"R_Potentiometer_Dual_Separate";;;
3;"C29,C46,C39,C30,C3,C25,C38,C45,C5,C8,C23,C34,C16,C17,C32,C14,C18,C15,C26";"C0603";19;"100n";;;
4;"C21,C11,C22,C9,C20,C10";"C0603";6;"1n";;;
5;"LED2,LED1,LED4,LED3";"LED-BICOLOR-THROUGHHOLE-5MM";4;"WP59EGW";;;
6;"R15,R38,R39,R29,R12,R24,R21,R32";"R0603";8;"100k";;;
7;"Q1,Q2";"SOT23-BEC";2;"MMBT3904";;;
8;"C35,C31,C36,C33,C49,C28,C41,C37";"PANASONIC_B";8;"10u";;;
9;"R19,R20,R18,R44,R45,R43";"ALPS_POT_VERTICAL_PS";6;"10kB";;;
10;"R59,R49,R48,R50";"R0603";4;"39k";;;
11;"R54,R51,R53,R52,R56,R55";"R0603";6;"5.6k";;;
12;"C44,C43";"C0603";2;"220p";;;
13;"R11";"R1206";1;"4.7";;;
14;"C4,C1,C27,C2,C13";"PANASONIC_D";5;"47u";;;
15;"J7,J1,J5,J3,J2,J9,J12,J10,J6,J4,J11,J8";"WQP_PJ_301M6";12;"PJ301_THONKICONN6";;;
16;"R6,R4,R9,R3,R7,R8,R5,R10";"R0603";8;"68";;;
17;"R34";"R0603";1;"47k";;;
18;"Q3";"HC49UP";1;"8MHz";;;
19;"R31,R27";"R0603";2;"66.5k";;;
20;"IC5";"TQFP-10X10-64";1;"STM32F405RGT6";;;
21;"SW1";"C&K_D6R";1;"SW_Push_LED";;;
22;"R33,R22,R23,R37,R28";"R0603";5;"200k";;;
23;"IC3";"SO08";1;"MCP6002";;;
24;"R58,R57";"R0603";2;"22k";;;
25;"C50,C12";"C0603";2;"1u";;;
26;"IC8";"QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm";1;"WM8731";;;
27;"R14,R13,R16,R17";"R0603";4;"10k";;;
28;"D1,D2";"SOD123";2;"1N5819HW";;;
29;"R36";"R0603";1;"180k";;;
30;"R30";"R0603";1;"470";;;
31;"SW4,SW5";"k2-1808 pushbutton switch";2;"EVQQ2";;;
32;"R2";"R0603";1;"1k";;;
33;"R61,R62";"R0603";2;"1.0k";;;
34;"C6,C7,C40,C48,C42,C47";"C0603";6;"18p";;;
35;"IC1";"SO16";1;"74595D";;;
36;"R26,R35,R25";"R0603";3;"33k";;;
37;"C24,C19";"C0805";2;"2.2u";;;
38;"IC2";"TO252";1;"LM1117-3.3";;;
39;"IC7";"SOT223";1;"LM1117-3.3";;;
40;"IC10,IC9";"SO08";2;"TL072D";;;
41;"IC4";"SO14";1;"MCP6004";;;
42;"R46,R47";"R0603";2;"3.3k";;;
43;"IC6";"DBZ_R-PDSO-G3";1;"LM4040B10";;;
44;"SW3,SW2";"TACTILE-PTH";2;"TAC_SWITCHPTH";;;
45;"Q4";"HC49UP";1;"12.288MHz";;;
46;"JP1";"1X06";1;"M06SIP";;;
47;"JP3";"AVR_ICSP";1;"M05X2PTH";;;
48;"JP2";"2X5-1.27";1;"M05X2MINIJTAG";;;
