Comment,Designator,Footprint,LCSC
100n,C33,C0603,
MCP6004,IC7,SO14,
TL072,IC14,SO08,
100n,C4,C0603,
100n,C34,C0603,
PJ301_THONKICONN6,J16,WQP_PJ_301M6,
3.3n,C41,C0603,
PJ301_THONKICONN6,J2,WQP_PJ_301M6,
3.3n,C20,C0603,
ADC_TEST,TP1,PAD.03X.03,
3.3n,C50,C0603,
PJ301_THONKICONN6,J3,WQP_PJ_301M6,
18p,C43,C0603,
PJ301_THONKICONN6,J5,WQP_PJ_301M6,
120k,R56,R0603,
33,R10,R0603,
20k,R11,R0603,
220p,C54,C0603,
PJ301_THONKICONN6,J13,WQP_PJ_301M6,
20k,R28,R0603,
FIDUCIAL1X2,F2,FIDUCIAL-1X2,
1N5819HW,D2,SOD123,
20k,R46,R0603,
SSL-LX5093TC,LED1,LED5MM,
10kB,R63,ALPS_POT_VERTICAL_PS,
3.3n,C25,C0603,
10kB,R76,ALPS_POT_VERTICAL,
SSL-LX5093PC,LED2,LED5MM,
10u,C56,PANASONIC_B,
10kB,R66,ALPS_POT_VERTICAL_PS,
1.0k,R2,R0603,
47k,R51,R0603,
2.2k,R44,R0603,
10kB,R78,ALPS_POT_VERTICAL,
3.3n,C24,C0603,
47k,R69,R0603,
WE-CBF_0603,L1,0603,
18p,C12,C0603,
10k,R60,R0603,
6.8k,R87,R0603,
10kB,R77,ALPS_POT_VERTICAL,
22u,C9,PANASONIC_C,
100n,C32,C0603,
10kB,R64,ALPS_POT_VERTICAL_PS,
100n,C7,C0603,
100n,C13,C0603,
1.0k,R88,R0603,
100k,R16,R0603,
10kB,R5,ALPS_POT_VERTICAL_PS,
2.2k,R53,R0603,
100k,R40,R0603,
PJ301_THONKICONN6,J12,WQP_PJ_301M6,
EVQQ2,SW2,k2-1808 pushbutton switch,
47k,R27,R0603,
20k,R73,R0603,
PJ301_THONKICONN6,J18,WQP_PJ_301M6,
120k,R70,R0603,
PJ301_THONKICONN6,J8,WQP_PJ_301M6,
FIDUCIAL1X2,F4,FIDUCIAL-1X2,
100k,R54,R0603,
2.2k,R52,R0603,
3.3n,C27,C0603,
3.3n,C15,C0603,
10k,R50,R0603,
100n,C45,C0603,
6.8k,R68,R0603,
LM1117-3.3,IC2,SOT223,
FIDUCIAL1X2,F1,FIDUCIAL-1X2,
10kB,R65,ALPS_POT_VERTICAL_PS,
10u,C52,PANASONIC_B,
20k,R49,R0603,
1u,C17,C0603,
100k,R57,R0603,
EVQQ2,SW3,k2-1808 pushbutton switch,
100n,C21,C0603,
PJ301_THONKICONN6,J1,WQP_PJ_301M6,
100n,C29,C0603,
3.3n,C42,C0603,
100k,R30,R0603,
120k,R38,R0603,
PJ301_THONKICONN6,J15,WQP_PJ_301M6,
100n,C5,C0603,
10kB,R81,ALPS_POT_VERTICAL,
10kB,R61,ALPS_POT_VERTICAL_PS,
100n,C39,C0603,
MMBT3904,Q2,SOT23-BEC,
PJ301_THONKICONN6,J9,WQP_PJ_301M6,
10kB,R25,ALPS_POT_VERTICAL_PS,
4051PW,IC3,TSSOP16,
4051PW,IC5,TSSOP16,
20k,R17,R0603,
PJ301_THONKICONN6,J10,WQP_PJ_301M6,
120k,R41,R0603,
MCP6004,IC6,SO14,
100k,R13,R0603,
PJ301_THONKICONN6,J4,WQP_PJ_301M6,
10kB,R6,ALPS_POT_VERTICAL_PS,
3.3n,C30,C0603,
10kB,R79,ALPS_POT_VERTICAL,
100n,C8,C0603,
220p,C57,C0603,
10kB,R3,ALPS_POT_VERTICAL_PS,
3.3n,C28,C0603,
100k,R43,R0603,
100k,R67,R0603,
20k,R29,R0603,
2.2u,C35,C0805,
22u,C1,PANASONIC_C,
120k,R32,R0603,
10u,C55,PANASONIC_B,
10kB,R9,ALPS_POT_VERTICAL_PS,
STM32F405RGT6,IC10,TQFP-10X10-64,
PJ301_THONKICONN6,J11,WQP_PJ_301M6,
SSL-LX5093TC,LED3,LED_0603_1608Metric,
100n,C51,C0603,
PJ301_THONKICONN6,J6,WQP_PJ_301M6,
120k,R42,R0603,
47k,R72,R0603,
18p,C11,C0603,
36k,R86,R0603,
WM8731CLSEFL,U1,QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,
100n,C37,C0603,
20k,R12,R0603,
120k,R20,R0603,
100k,R33,R0603,
