Designator;Val;Package;Mid X;Mid Y;Rotation;Layer
C1;22u;PANASONIC_C;112.6236;-57.0611;180;top
C2;100n;C0603;117.3861;-61.8236;90.0;top
C3;22u;PANASONIC_C;70.0786;-64.9986;270;top
C4;100n;C0603;72.9361;-70.0786;180.0;top
C5;100n;C0603;93.5736;-63.0936;90.0;top
C6;100n;C0603;203.4286;-72.3011;0.0;top
C7;100n;C0603;153.5811;-73.0948;-90.0;top
C8;100n;C0603;83.7311;-73.2536;-90.0;top
C9;22u;PANASONIC_C;149.7711;-74.2061;270;top
C10;22u;PANASONIC_C;80.2386;-74.5236;270;top
C11;18p;C0603;161.8361;-74.5236;180.0;top
C12;18p;C0603;170.7261;-74.5236;0.0;top
C13;100n;C0603;203.4286;-81.5086;0.0;top
C14;3.3n;C0603;92.6211;-82.1436;180.0;top
C15;3.3n;C0603;102.7811;-82.1436;0.0;top
C16;100n;C0603;203.4286;-82.7786;0.0;top
C17;1u;C0603;160.5661;-84.366;90.0;top
C18;100n;C0603;162.1536;-84.3661;90.0;top
C19;3.3n;C0603;119.2911;-84.6836;180.0;top
C20;3.3n;C0603;129.4511;-84.6836;0.0;top
C21;100n;C0603;171.9326;-88.4936;0.0;top
C22;100n;C0603;156.7562;-89.4461;90.0;top
C23;100n;C0603;83.4136;-89.7636;0.0;top
C24;3.3n;C0603;73.8886;-91.9861;90.0;top
C25;3.3n;C0603;84.0486;-92.3036;90.0;top
C26;3.3n;C0603;91.6686;-92.9386;180.0;top
C27;3.3n;C0603;103.7336;-92.9386;0.0;top
C28;3.3n;C0603;129.7686;-92.9386;90.0;top
C29;100n;C0603;97.7011;-94.8436;-90.0;top
C30;3.3n;C0603;118.3386;-95.4786;180.0;top
C31;2.2u;C0805;157.0736;-97.3836;-90.0;top
C32;100n;C0603;126.5936;-96.4311;0.0;top
C33;100n;C0603;158.9786;-99.2886;-90.0;top
C34;100n;C0603;170.7262;-100.6856;0.0;top
C35;2.2u;C0805;169.1386;-102.4636;0.0;top
C36;1u;C0603;167.0;-106.5;135.0;top
C37;100n;C0603;203.4286;-104.3686;0.0;top
C39;100n;C0603;166.0;-107.5;135.0;top
C40;10u;PANASONIC_B;148.1836;-107.5436;180;top
C41;3.3n;C0603;109.4486;-110.0836;180.0;top
C42;3.3n;C0603;119.6086;-110.0836;0.0;top
C43;18p;C0603;136.7536;-110.7186;180.0;top
C44;100n;C0603;133.2611;-113.5761;-90.0;top
C45;100n;C0603;140.2461;-117.3861;-90.0;top
C46;100n;C0603;159.6136;-117.3861;0.0;top
C47;100n;C0603;162.5;-119.0;-90.0;top
C48;1u;C0603;159.6136;-118.9736;0.0;top
C49;18p;C0603;135.1661;-120.2436;180.0;top
C50;3.3n;C0603;119.9261;-120.5611;0.0;top
C51;100n;C0603;111.3536;-120.8786;180.0;top
C52;10u;PANASONIC_B;166.0;-121.5;270;top
C53;10u;PANASONIC_B;143.1036;-123.7361;180;top
C54;220p;C0603;90.3986;-130.0861;90.0;top
C55;10u;PANASONIC_B;91.6686;-134.5311;90;top
C56;10u;PANASONIC_B;91.6686;-140.5636;-90;top
C57;220p;C0603;90.3986;-145.0086;-90.0;top
D1;1N5819HW;SOD123;78.6511;-55.2051;180;top
D2;1N5819HW;SOD123;102.4636;-55.2051;180;top
F1;FIDUCIAL1X2;FIDUCIAL-1X2;68.1736;-53.8861;0.0;top
F2;FIDUCIAL1X2;FIDUCIAL-1X2;228.8286;-53.8861;0.0;top
F3;FIDUCIAL1X2;FIDUCIAL-1X2;68.1736;-156.1211;0.0;top
F4;FIDUCIAL1X2;FIDUCIAL-1X2;228.8286;-156.1211;0.0;top
IC1;LM4040B10;DBZ_R-PDSO-G3;114.5286;-61.5061;-180;top
IC2;LM1117-3.3;SOT223;72.6186;-74.2061;0;top
IC3;4051PW;TSSOP16;198.0311;-74.5561;-90.0;top
IC4;LM1117-3.3;SOT223;142.1511;-74.5236;-180;top
IC5;4051PW;TSSOP16;198.0311;-85.3511;-90.0;top
IC6;MCP6004;SO14;97.7011;-87.5411;0.0;top
