Footprint;Designator;Comment;LCSC;Description
0603;L1,L2;WE-CBF_0603;;
1X06;JP2;M06SIP;;
2X5-1.27;JP1;M05X2MINIJTAG;;
ALPS_POT_VERTICAL;R76,R77,R78,R79,R80,R81,R82,R83,R84,R85;10kB;;
ALPS_POT_VERTICAL_PS;R23,R24,R25,R26,R3,R4,R5,R6,R61,R62,R63,R64,R65,R66,R7,R8,R9;10kB;;
AVR_ICSP;JP3;M05X2PTH;;
C&K_D6R;SW1;SW_MEC_5G_2LED;;
C0603;C13,C16,C18,C2,C21,C22,C23,C29,C32,C33,C34,C37,C39,C4,C44,C45,C46,C47,C5,C51,C6,C7,C8;100n;C14663;50V 100nF X7R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C0603;C11,C12,C43,C49;18p;C1647;50V 18pF C0G ±5% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C0603;C17,C36,C48;1u;C15849;50V 1uF X5R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C0603;C54,C57;220p;;
C0603;C14,C15,C19,C20,C24,C25,C26,C27,C28,C30,C41,C42,C50;3.3n;;
C0805;C31,C35;2.2u;C49217;50V 2.2uF Y5V ±20% 0805  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
DBZ_R-PDSO-G3;IC1;LM4040B10;C129965;10V -40℃~+85℃@(TA) ±0.1% 103μA 15mA 100ppm/℃ Fixed SOT-23(SOT-23-3)  Voltage References ROHS
FIDUCIAL-1X2;F1,F2,F3,F4;FIDUCIAL1X2;;
HC49UP;Q1;8MHz;C12674;8MHz 49SMD 20pF ±20ppm ±30ppm -20℃~+70℃ HC-49S/SMD  Crystals ROHS
LED5MM;LED2;SSL-LX5093PC;;
LED5MM;LED1;SSL-LX5093TC;;
LED_0603_1608Metric;LED4;SSL-LX5093PC;;
LED_0603_1608Metric;LED3;SSL-LX5093TC;;
PAD.03X.03;TP1;ADC_TEST;;
PANASONIC_B;C40,C52,C53,C55,C56;10u;C134218;2000hrs@105℃ -45℃~+105℃ 10uF 5.8mm 16V 4mm ±20% SMD,4x5.8mm  Aluminum Electrolytic Capacitors - SMD ROHS
PANASONIC_C;C1,C10,C3,C9;22u;C128468;-40℃~+105℃ 2000hrs@105℃ 22uF 5.8mm 16V 5mm ±20% SMD,5x5.8mm  Aluminum Electrolytic Capacitors - SMD ROHS
PinHeader_2x05_P2.54mm_Vertical_SMD;J19;Conn_02x05_Odd_Even;;
QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm;U1;WM8731CLSEFL;;
R0603;R1,R2,R88,R89;1.0k;C21190;1/10W Thick Film Resistors 75V ±1% ±100ppm/℃ -55℃~+155℃ 1kΩ 0603  Chip Resistor - Surface Mount ROHS
R0603;R13,R16,R19,R22,R30,R33,R36,R39,R40,R43,R54,R57,R67,R71;100k;C25803;1/10W Thick Film Resistors 75V ±1% ±100ppm/℃ -55℃~+155℃ 100kΩ 0603  Chip Resistor - Surface Mount ROHS
R0603;R45,R50,R60;10k;C108449;100mW Thick Film Resistors 75V ±100ppm/℃ ±1% -55℃~+155℃ 10kΩ 0603  Chip Resistor - Surface Mount ROHS
R0603;R14,R15,R20,R21,R32,R38,R41,R42,R55,R56,R70;120k;C25808;1/10W Thick Film Resistors 75V ±1% ±100ppm/℃ -55℃~+155℃ 120kΩ 0603  Chip Resistor - Surface Mount ROHS
R0603;R37;180k;;
R0603;R44,R47,R52,R53;2.2k;;
R0603;R31;200k;C332260;100mW Thin Film Resistor 75V ±25ppm/℃ ±0.1% -55℃~+155℃ 200kΩ 0603  Chip Resistor - Surface Mount ROHS
R0603;R11,R12,R17,R18,R28,R29,R35,R46,R48,R49,R73;20k;;
R0603;R10;33;;
R0603;R34;33k;;
R0603;R75,R86;36k;;
R0603;R27,R51,R59,R69,R72;47k;;
R0603;R58,R68,R74,R87;6.8k;;
SO08;IC9;MCP6002;;
SO08;IC14;TL072;C6961;2.5mA 16 V/us 2 4MHz J-FET 6V ~ 36V, ±3V ~ 18V SOIC-8_150mil  FET InputAmplifiers ROHS
SO14;IC13,IC6,IC7;MCP6004;C116668;0.6 V/us 4 1MHz 1.8V ~ 6V General Purpose TSSOP-14  Operational Amplifier ROHS
SOD123;D1,D2;1N5819HW;C82544;40V 450mV@1A 1A SOD-123  Schottky Barrier Diodes (SBD) ROHS
SOT223;IC2,IC4;LM1117-3.3;;
SOT23-BEC;Q2;MMBT3904;C20526;40V 200mW 200mA 100@10mA,1V 300MHz 300mV@50mA,5mA NPN +150℃@(Tj) SOT-23(SOT-23-3)  Bipolar Transistors - BJT ROHS
TQFP-10X10-64;IC10;STM32F405RGT6;C15742;ARM® Cortex®-M4 168MHz FLASH 1.8V ~ 3.6V 32-Bit LQFP-64_10x10x05P  ST Microelectronics ROHS
TSSOP16;IC11,IC3,IC5,IC8;4051PW;;
WQP_PJ_301M6;J1,J10,J11,J12,J13,J14,J15,J16,J17,J18,J2,J3,J4,J5,J6,J7,J8,J9;PJ301_THONKICONN6;;
k2-1808 pushbutton switch;SW2,SW3;EVQQ2;;
