Comment,Designator,Footprint,LCSC
74595D,IC6,SO16,
100k,R21,R0603,
100k,R22,R0603,
PJ301WQP,J4,WQP_PJ_301M6,
1.0k,R48,R0603,
PJ301WQP,J13,WQP_PJ_301M6,
470n,C8,C0603,
100n,C11,C0603,
PJ301WQP,J9,WQP_PJ_301M6,
PJ301WQP,J8,WQP_PJ_301M6,
10k,R8,R0603,
10n,C17,C0603,
100n,C18,C0603,
22u,C1,PANASONIC_C,
100n,C9,C0603,
100k,R18,R0603,
100k,R19,R0603,
PJ301WQP,J6,WQP_PJ_301M6,
LM4040 5.0V,IC2,DBZ_R-PDSO-G3,
100n,C13,C0603,
10n,C12,C0603,
100k,R33,R0603,
1N5819HW,D1,SOD123,
10kB,R1,ALPS_POT_VERTICAL_PS,
100k,R20,R0603,
1.0k,R49,R0603,
10kB,R42,ALPS_POT_VERTICAL_PS4,
MCP6002,IC5,SO08,
100k,R38,R0603,
10n,C10,C0603,
MCP6002,IC3,SO08,
1M,R10,R0603,
MMBT3904,Q3,SOT23-BEC,
22u,C19,PANASONIC_C,
MMBT3904,Q2,SOT23-BEC,
FIDUCIAL1X2,F3,FIDUCIAL-1X2,
AVR_SPI_PRG_6PTH,J17,PinHeader_2x03_P2.54mm_Horizontal_SMD,
PJ301WQP,J10,WQP_PJ_301M6,
100k,R24,R0603,
PJ301WQP,J3,WQP_PJ_301M6,
MCP6002,IC4,SO08,
10k,R6,R0603,
100k,R36,R0603,
10k,R3,R0603,
100k,R34,R0603,
ATMEGA328P-AU,IC1,TQFP32-08,
100,R41,R0603,
10kB,R2,ALPS_POT_VERTICAL_PS,
18p,C7,C0603,
100k,R32,R0603,
LED3MM,LED2,LED3MM,
100k,R15,R0603,
1.0k,R43,R0603,
1.0k,R45,R0603,
100n,C6,C0603,
PJ301WQP,J7,WQP_PJ_301M6,
100n,C3,C0603,
100k,R23,R0603,
100,R4,R0603,
100k,R17,R0603,
100k,R29,R0603,
LM1117-5.0,IC7,SOT223,
1M,R12,R0603,
100k,R37,R0603,
PJ301WQP,J11,WQP_PJ_301M6,
100k,R30,R0603,
10n,C15,C0603,
100k,R35,R0603,
FIDUCIAL1X2,F2,FIDUCIAL-1X2,
1.0k,R47,R0603,
PJ301WQP,J1,WQP_PJ_301M6,
100k,R16,R0603,
WE-CBF_0603,L1,0603,
100k,R28,R0603,
100n,C4,C0603,
PJ301WQP,J5,WQP_PJ_301M6,
20MHz,Q1,Crystal_SMD_2520-4Pin_2.5x2.0mm,
LED3MM,LED3,LED3MM,
10kB,R25,ALPS_POT_VERTICAL_PS,
100k,R31,R0603,
PJ301WQP,J14,WQP_PJ_301M6,
LED,D2,LED_0603_1608Metric,
LED,D4,LED_0603_1608Metric,
10n,C14,C0603,
FIDUCIAL1X2,F1,FIDUCIAL-1X2,
10kB,R46,ALPS_POT_VERTICAL_PS,
100k,R27,R0603,
100n,C5,C0603,
1.0k,R44,R0603,
PJ301WQP,J2,WQP_PJ_301M6,
10k,R7,R0603,
100k,R13,R0603,
LED,D3,LED_0603_1608Metric,
10kB,R5,ALPS_POT_VERTICAL_PS,
100,R40,R0603,
100k,R14,R0603,
FIDUCIAL1X2,F4,FIDUCIAL-1X2,
10n,C16,C0603,
LED3MM,LED4,LED3MM,
10kB,R26,ALPS_POT_VERTICAL_PS,
100k,R11,R0603,
PJ301WQP,J12,WQP_PJ_301M6,
100,R39,R0603,
18p,C2,C0603,
100k,R9,R0603,
SW_MEC_5G_2LED,SW1,C&K_D6R,
M03PTH,JP1,1X03,
AVR_SPI_PRG_6PTH,J15,2X3,
M05X2PTH,J16,AVR_ICSP,
M03PTH,JP2,1X03,
