Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22u,PANASONIC_C,171.0536,-64.3636,-90.0,top
C2,18p,C0603,139.398959,-78.0,-45.0,top
C3,100n,C0603,142.1611,-76.1111,90.0,top
C4,100n,C0603,166.2911,-66.2686,90.0,top
C5,100n,C0603,155.1786,-77.0636,0.0,top
C6,100n,C0603,154.2261,-79.6036,-90.0,top
C7,18p,C0603,139.398959,-85.5,45.0,top
C8,470n,C0603,174.8636,-93.2561,0.0,top
C9,100n,C0603,141.2086,-95.4786,90.0,top
C10,10n,C0603,143.1136,-95.4786,90.0,top
C11,100n,C0603,152.3211,-95.4786,90.0,top
C12,10n,C0603,154.2261,-95.4786,90.0,top
C13,100n,C0603,164.0686,-95.4786,90.0,top
C14,10n,C0603,165.9736,-95.4786,90.0,top
C15,10n,C0603,141.2086,-108.1786,-90.0,top
C16,10n,C0603,152.3211,-108.1786,-90.0,top
C17,10n,C0603,164.0686,-108.1786,-90.0,top
C18,100n,C0603,144.7011,-119.6086,180.0,top
C19,22u,PANASONIC_C,176.7686,-64.3636,-90.0,top
D1,1N5819HW,SOD123,182.4836,-66.2686,0.0,top
D2,LED,LED_0603_1608Metric,180.5786,-117.3226,0.0,top
D3,LED,LED_0603_1608Metric,168.5136,-117.3226,0.0,top
D4,LED,LED_0603_1608Metric,156.4486,-117.3226,0.0,top
F1,FIDUCIAL1X2,FIDUCIAL-1X2,185.6586,-58.6486,90.0,top
F2,FIDUCIAL1X2,FIDUCIAL-1X2,117.7136,-61.1886,90.0,top
F3,FIDUCIAL1X2,FIDUCIAL-1X2,117.0786,-147.5486,90.0,top
F4,FIDUCIAL1X2,FIDUCIAL-1X2,178.0386,-147.5486,90.0,top
IC1,ATMEGA328P-AU,TQFP32-08,148.1936,-76.4286,0.0,top
IC2,LM4040 5.0V,DBZ_R-PDSO-G3,175.1811,-87.8586,-90.0,top
IC3,MCP6002,SO08,144.0661,-101.8286,0.0,top
IC4,MCP6002,SO08,155.1786,-101.8286,0.0,top
IC5,MCP6002,SO08,166.9261,-101.8286,0.0,top
IC6,74595D,SO16,142.4786,-125.9586,-90.0,top
IC7,LM1117-5.0,SOT223,172.0061,-71.9836,90.0,top
J1,PJ301WQP,WQP_PJ_301M6,117.98665,-59.9186,90.0,top
J2,PJ301WQP,WQP_PJ_301M6,117.98665,-81.5086,90.0,top
J3,PJ301WQP,WQP_PJ_301M6,117.98665,-103.0986,90.0,top
J4,PJ301WQP,WQP_PJ_301M6,117.98665,-124.6886,90.0,top
J5,PJ301WQP,WQP_PJ_301M6,156.72165,-125.9586,90.0,top
J6,PJ301WQP,WQP_PJ_301M6,168.78665,-125.9586,90.0,top
J7,PJ301WQP,WQP_PJ_301M6,180.85165,-125.9586,90.0,top
J8,PJ301WQP,WQP_PJ_301M6,156.72165,-138.0236,90.0,top
J9,PJ301WQP,WQP_PJ_301M6,168.78665,-138.0236,90.0,top
J10,PJ301WQP,WQP_PJ_301M6,180.85165,-138.0236,90.0,top
J11,PJ301WQP,WQP_PJ_301M6,117.98665,-146.2786,90.0,top
J12,PJ301WQP,WQP_PJ_301M6,156.72165,-150.0886,90.0,top
J13,PJ301WQP,WQP_PJ_301M6,168.78665,-150.0886,90.0,top
J14,PJ301WQP,WQP_PJ_301M6,180.85165,-150.0886,90.0,top
J15,AVR_SPI_PRG_6PTH,2X3,153.5911,-86.1036,180.0,bottom
J16,M05X2PTH,AVR_ICSP,183.4488,-74.5236,0.0,bottom
J17,AVR_SPI_PRG_6PTH,PinHeader_2x03_P2.54mm_Horizontal_SMD,122.0,-70.61,180.0,top
JP1,M03PTH,1X03,140.8911,-152.6286,180.0,bottom
JP2,M03PTH,1X03,142.4786,-66.9036,0.0,bottom
L1,WE-CBF_0603,0603,155.8136,-79.3861,90.0,top
LED2,LED3MM,LED3MM,156.5883,-115.7986,180.0,top
LED3,LED3MM,LED3MM,168.6533,-115.7986,180.0,top
LED4,LED3MM,LED3MM,180.7183,-115.7986,180.0,top
