Footprint;Designator;Comment;LCSC;Description
603;L1;WE-CBF_0603;C1002;200mA 1 450mΩ 600Ω@100MHz ±25% 0603  Ferrite Beads ROHS
1X03;JP1,JP2;M03PTH;;
2X3;J15;AVR_SPI_PRG_6PTH;;
ALPS_POT_VERTICAL_PS;R1,R2,R25,R26,R46,R5;10kB;;
ALPS_POT_VERTICAL_PS4;R42;10kB;;
AVR_ICSP;J16;M05X2PTH;;
C&K_D6R;SW1;SW_MEC_5G_2LED;;
C0603;C11,C13,C18,C3,C4,C5,C6,C9;100n;C14663;50V 100nF X7R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C0603;C10,C12,C14,C15,C16,C17;10n;C57112;50V 10nF X7R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C0603;C2,C7;18p;C1647;50V 18pF C0G ±5% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C0603;C8;470n;C1623;25V 470nF X7R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
Crystal_SMD_2520-4Pin_2.5x2.0mm;Q1;20MHz;C252261;20MHz SMD Crystal Resonator 12pF ±10ppm ±30ppm -40℃~+85℃ SMD2520-4P  Crystals ROHS
DBZ_R-PDSO-G3;IC2;LM4040 5.0V;C202168;5V -40℃~+85℃@(TA) ±1% 85μA 15mA 150ppm/℃ Fixed SOT-23(SOT-23-3)  Voltage References ROHS
FIDUCIAL-1X2;F1,F2,F3,F4;FIDUCIAL1X2;;
LED3MM;LED2,LED3,LED4;LED3MM;;
LED_0603_1608Metric;D2,D3,D4;LED;C125099;20mA 639nm Colorless transparence -55℃~+85℃ 631nm~631nm Red 130° 75mW 0603  Light Emitting Diodes (LED) ROHS
PANASONIC_C;C1,C19;22u;C128468;-40℃~+105℃ 2000hrs@105℃ 22uF 5.8mm 16V 5mm ±20% SMD,5x5.8mm  Aluminum Electrolytic Capacitors - SMD ROHS
PinHeader_2x03_P2.54mm_Horizontal_SMD;J17;AVR_SPI_PRG_6PTH;C5149353;SMD,P=2.54mm  Pin Headers ROHS
R0603;R43,R44,R45,R47,R48,R49;1.0k;C21190;1/10W Thick Film Resistors 75V ±1% ±100ppm/℃ -55℃~+155℃ 1kΩ 0603  Chip Resistor - Surface Mount ROHS
R0603;R39,R4,R40,R41;100;C22775;1/10W Thick Film Resistors 75V ±1% ±200ppm/℃ -55℃~+155℃ 100Ω 0603  Chip Resistor - Surface Mount ROHS
R0603;R11,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R9;100k;C25803;100mW Thick Film Resistors 75V ±100ppm/℃ ±1% -55℃~+155℃ 100kΩ 0603  Chip Resistor - Surface Mount ROHS
R0603;R3,R6,R7,R8;10k;C25804;100mW Thick Film Resistors 75V ±100ppm/℃ ±1% -55℃~+155℃ 10kΩ 0603  Chip Resistor - Surface Mount ROHS
R0603;R10,R12;1M;C22935;100mW Thick Film Resistors 75V ±100ppm/℃ ±1% -55℃~+155℃ 1MΩ 0603  Chip Resistor - Surface Mount ROHS
SO08;IC3,IC4,IC5;MCP6002;C7377;0.6 V/us 2 1MHz 1.8V ~ 6V 100uA General Purpose SOIC-8_150mil  Operational Amplifier ROHS
SO16;IC6;74595D;C5947;2V~6V Tri-State 74HC ShiftRegister Serial to parallel, serial SOIC-16_150mil  Registers ROHS
SOD123;D1;1N5819HW;C8598;40V 600mV@1A 1A SOD-123  Schottky Barrier Diodes (SBD) ROHS
SOT223;IC7;LM1117-5.0;C498151;SOT-223  Linear Voltage Regulators (LDO) ROHS
SOT23-BEC;Q2,Q3;MMBT3904;C20526;40V 200mW 200mA 100@10mA,1V 300MHz 300mV@50mA,5mA NPN +150℃@(Tj) SOT-23(SOT-23-3)  Bipolar Transistors - BJT ROHS
TQFP32-08;IC1;ATMEGA328P-AU;C14877;AVR 20MHz FLASH 1.8V ~ 5.5V 8-Bit TQFP-32_7x7x08P  ATMEL & AVR ROHS
WQP_PJ_301M6;J1,J10,J11,J12,J13,J14,J2,J3,J4,J5,J6,J7,J8,J9;PJ301WQP;;
