Qty;Designator;Comment;Footprint;LCSC;Description
2;R52,R53;51;R0603;C23197;100mW Thick Film Resistors 75V ±100ppm/℃ ±1% -55℃~+155℃ 51Ω 0603  Chip Resistor - Surface Mount ROHS
4;R39,R4,R40,R41;100;R0603;C22775;1/10W Thick Film Resistors 75V ±1% ±200ppm/℃ -55℃~+155℃ 100Ω 0603  Chip Resistor - Surface Mount ROHS
2;R50,R51;220;R0603;C22962;1/10W Thick Film Resistors 75V ±1% ±100ppm/℃ -55℃~+155℃ 220Ω 0603  Chip Resistor - Surface Mount ROHS
6;R43,R44,R45,R47,R48,R49;1.0k;R0603;C21190;1/10W Thick Film Resistors 75V ±1% ±100ppm/℃ -55℃~+155℃ 1kΩ 0603  Chip Resistor - Surface Mount ROHS
26;R9,R11,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38;100k;R0603;C25803;100mW Thick Film Resistors 75V ±100ppm/℃ ±1% -55℃~+155℃ 100kΩ 0603  Chip Resistor - Surface Mount ROHS
8;C3,C4,C5,C6,C9,C11,C13,C18;100n;C0603;C14663;50V 100nF X7R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
4;R3,R6,R7,R8;10k;R0603;C25804;100mW Thick Film Resistors 75V ±100ppm/℃ ±1% -55℃~+155℃ 10kΩ 0603  Chip Resistor - Surface Mount ROHS
6;C10,C12,C14,C15,C16,C17;10n;C0603;C57112;50V 10nF X7R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
2;C2,C7;18p;C0603;C1647;50V 18pF C0G ±5% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
2;R10,R12;1M;R0603;C22935;100mW Thick Film Resistors 75V ±100ppm/℃ ±1% -55℃~+155℃ 1MΩ 0603  Chip Resistor - Surface Mount ROHS
1;D2;1N4148;SOD123;C81598;75V +150℃@(Tj) 400mW Single 1.25V@150mA 4ns 1μA@75V 150mA SOD-123  Switching Diode ROHS
1;D1;1N5819HW;SOD123;C8598;40V 600mV@1A 1A SOD-123  Schottky Barrier Diodes (SBD) ROHS
1;Q1;20MHz;HC49UP;C27194;20MHz 49SMD 20pF ±20ppm ±30ppm -20℃~+70℃ HC-49S/SMD  Crystals ROHS
2;C1,C19;22u;PANASONIC_C;C128468;-40℃~+105℃ 2000hrs@105℃ 22uF 5.8mm 16V 5mm ±20% SMD,5x5.8mm  Aluminum Electrolytic Capacitors - SMD ROHS
1;C8;470n;C0603;C1623;25V 470nF X7R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
1;IC8;6N137;Package_SO:SOP-8_6.62x9.15mm_P2.54mm;C2918951;75ns,75ns 1 -55℃~+100℃ 5000V 10Mbit/s DC SMD-8  Optocouplers - Logic Output ROHS
1;IC6;74595D;SO16;C5947;2V~6V Tri-State 74HC ShiftRegister Serial to parallel, serial SOIC-16_150mil  Registers ROHS
1;IC1;ATMEGA328P-AU;TQFP32-08;C14877;AVR 20MHz FLASH 1.8V ~ 5.5V 8-Bit TQFP-32_7x7x08P  ATMEL & AVR ROHS
1;IC7;LM1117-5.0;SOT223;C498151;SOT-223  Linear Voltage Regulators (LDO) ROHS
1;IC2;LM4040 5.0V;DBZ_R-PDSO-G3;C202168;5V -40℃~+85℃@(TA) ±1% 85μA 15mA 150ppm/℃ Fixed SOT-23(SOT-23-3)  Voltage References ROHS
3;IC3,IC4,IC5;MCP6002;SO08;C7377;0.6 V/us 2 1MHz 1.8V ~ 6V 100uA General Purpose SOIC-8_150mil  Operational Amplifier ROHS
2;Q2,Q3;MMBT3904;SOT23-BEC;C20526;40V 200mW 200mA 100@10mA,1V 300MHz 300mV@50mA,5mA NPN +150℃@(Tj) SOT-23(SOT-23-3)  Bipolar Transistors - BJT ROHS
1;L1;WE-CBF_0603;603;C1002;200mA 1 450mΩ 600Ω@100MHz ±25% 0603  Ferrite Beads ROHS
