Comment,Designator,Footprint,LCSC
M05X2PTH,JP1,AVR_ICSP,
4.7u,C9,C0603,
PMEG2010AEB,D2,SOD523,
PMEG2010AEB,D1,SOD523,
WP937EGW,LED2,LED3MM,
1.0k,R19,R0402,
100n,C3,C0402,
100n,C4,C0402,
WP937EGW,LED3,LED3MM,
1.0k,R31,R0402,
LM321MF,IC5,SOT23-5,
100n,C7,C0402,
100n,C8,C0402,
PJ301_THONKICONN6,J1,WQP_PJ_301M6,
PJ301_THONKICONN6,J4,WQP_PJ_301M6,
PJ301_THONKICONN6,J2,WQP_PJ_301M6,
PJ301_THONKICONN6,J3,WQP_PJ_301M6,
PJ301_THONKICONN6,J8,WQP_PJ_301M6,
PJ301_THONKICONN6,J7,WQP_PJ_301M6,
PJ301_THONKICONN6,J5,WQP_PJ_301M6,
PJ301_THONKICONN6,J6,WQP_PJ_301M6,
PJ301_THONKICONN6,J12,WQP_PJ_301M6,
PJ301_THONKICONN6,J9,WQP_PJ_301M6,
PJ301_THONKICONN6,J10,WQP_PJ_301M6,
PJ301_THONKICONN6,J11,WQP_PJ_301M6,
TL074PW,IC3,TSSOP14,
1N4148,D10,SOD523,
1N4148,D9,SOD523,
220k,R18,R0402,
180,R22,R0402,
220k,R17,R0402,
180,R23,R0402,
1.0M,R20,R0402,
1.0M,R21,R0402,
WP937EGW,LED1,LED3MM,
1.0k,R10,R0402,
LM321MF,IC2,SOT23-5,
TL074PW,IC1,TSSOP14,
200k,R6,R0402,
200k,R11,R0402,
200k,R2,R0402,
100k,R3,R0402,
1N4148,D3,SOD523,
1N4148,D4,SOD523,
100k,R4,R0402,
200k,R1,R0402,
180,R14,R0402,
100k,R5,R0402,
200k,R7,R0402,
180,R13,R0402,
180,R12,R0402,
100k,R8,R0402,
200k,R9,R0402,
220k,R15,R0402,
OPA4171,IC4,TSSOP14,
100n,C10,C0402,
1.5M,R27,R0402,
100k,R29,R0402,
180,R34,R0402,
1.0M,R37,R0402,
MMBFJ309,Q3,SOT23,
1.0M,R32,R0402,
1N4148,D11,SOD523,
10n,C11,C0603,
180,R35,R0402,
100k,R36,R0402,
100p,C12,C0402,
1N4148,D12,SOD523,
10k,R30,R0402,
100k,R28,R0402,
10k,R26,R0402,
1.0M,R25,R0402,
22u,C2,C0805,
22u,C1,C0805,
,L2,0603,
,L1,0603,
MMBT3904,Q2,SOT23-BEC,
MMBT3904,Q1,SOT23-BEC,
470k,R33,R0402,
4.7k,R24,R0402,
4.7u,C13,C0603,
22u,C6,C0805,
22u,C5,C0805,
1N4148,D6,SOD523,
220k,R16,R0402,
1N4148,D7,SOD523,
1N4148,D8,SOD523,
1N4148,D5,SOD523,
