Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22u,C0805,156.4486,-55.71165,90.0,top
C2,22u,C0805,140.5734,-55.71205,-90.0,top
C3,100n,C0402,146.6061,-90.63675,180.0,top
C4,100n,C0402,149.1462,-90.63675,180.0,top
C5,22u,C0805,150.4162,-111.59155,180.0,top
C6,22u,C0805,146.6061,-111.59165,180.0,top
C7,100n,C0402,146.9236,-123.81545,180.0,top
C8,100n,C0402,149.4636,-123.97425,180.0,top
C9,4.7u,C0603,156.6073,-124.76795,-90.0,top
C10,100n,C0402,143.4313,-127.14905,-90.0,top
C11,10n,C0603,153.5911,-131.59425,-90.0,top
C12,100p,C0402,155.3374,-132.70545,90.0,top
C13,4.7u,C0603,140.2563,-133.81675,-90.0,top
D1,PMEG2010AEB,SOD523,140.7829,-52.15995,0.0,top
D2,PMEG2010AEB,SOD523,156.3398,-52.16005,0.0,top
D3,1N4148,SOD523,144.284,-57.98415,-90.0,top
D4,1N4148,SOD523,143.6192,-60.29545,180.0,top
D5,1N4148,SOD523,144.284,-92.43305,-90.0,top
D6,1N4148,SOD523,152.7382,-92.33295,90.0,top
D7,1N4148,SOD523,140.9907,-96.93675,90.0,top
D8,1N4148,SOD523,142.2607,-96.93675,90.0,top
D9,1N4148,SOD523,154.1265,-98.30675,-90.0,top
D10,1N4148,SOD523,155.3965,-98.30675,-90.0,top
D11,1N4148,SOD523,150.5248,-124.98565,180.0,top
D12,1N4148,SOD523,156.7071,-130.75075,90.0,top
IC1,TL074PW,TSSOP14,148.5111,-59.52175,-90.0,top
IC2,LM321MF,SOT23-5,147.0823,-63.80805,90.0,top
IC3,TL074PW,TSSOP14,148.5111,-94.12925,-90.0,top
IC4,OPA4171,TSSOP14,148.5111,-128.41935,-90.0,top
IC5,LM321MF,SOT23-5,146.9235,-133.81675,90.0,top
J1,PJ301_THONKICONN6,WQP_PJ_301M6,143.7486,-71.8598,0.0,top
J2,PJ301_THONKICONN6,WQP_PJ_301M6,153.2736,-71.8598,0.0,top
J3,PJ301_THONKICONN6,WQP_PJ_301M6,143.7486,-84.5598,0.0,top
J4,PJ301_THONKICONN6,WQP_PJ_301M6,153.2736,-84.5598,0.0,top
J5,PJ301_THONKICONN6,WQP_PJ_301M6,143.7486,-106.1498,0.0,top
J6,PJ301_THONKICONN6,WQP_PJ_301M6,153.2736,-106.1498,0.0,top
J7,PJ301_THONKICONN6,WQP_PJ_301M6,143.7486,-118.8498,0.0,top
J8,PJ301_THONKICONN6,WQP_PJ_301M6,153.2736,-118.8498,0.0,top
J9,PJ301_THONKICONN6,WQP_PJ_301M6,143.7486,-139.8937,180.0,top
J10,PJ301_THONKICONN6,WQP_PJ_301M6,153.2736,-139.8937,180.0,top
J11,PJ301_THONKICONN6,WQP_PJ_301M6,143.7486,-152.5937,180.0,top
J12,PJ301_THONKICONN6,WQP_PJ_301M6,153.2736,-152.5937,180.0,top
JP1,M05X2PTH,AVR_ICSP,148.5111,-53.95275,270.0,bottom
L1,,0603,156.1898,-53.33045,0.0,top
L2,,0603,140.8321,-53.33055,180.0,top
LED1,WP937EGW,LED3MM,143.7486,-63.47145,90.0,top
LED2,WP937EGW,LED3MM,143.7486,-97.76145,90.0,top
LED3,WP937EGW,LED3MM,143.748565,-131.911734,-135.0,top
Q1,MMBT3904,SOT23-BEC,141.2086,-126.19675,0.0,top
Q2,MMBT3904,SOT23-BEC,141.2087,-130.00665,0.0,top
Q3,MMBFJ309,SOT23,150.5747,-134.13415,0.0,top
R1,200k,R0402,153.5911,-58.56925,180.0,top
R2,200k,R0402,141.8436,-58.72795,-90.0,top
R3,100k,R0402,143.1136,-58.72795,90.0,top
R4,100k,R0402,153.5911,-59.83925,0.0,top
R5,100k,R0402,153.5911,-61.10925,0.0,top
R6,200k,R0402,141.2086,-61.74425,180.0,top
R7,200k,R0402,152.3211,-62.37925,0.0,top
R8,100k,R0402,154.8611,-62.37925,0.0,top
R9,200k,R0402,153.5911,-63.64925,0.0,top
R10,1.0k,R0402,141.5261,-63.96675,-90.0,top
R11,200k,R0402,150.4161,-64.12545,90.0,top
R12,180,R0402,152.3211,-64.91925,180.0,top
R13,180,R0402,150.4161,-77.30175,180.0,top
R14,180,R0402,155.8136,-77.30175,0.0,top
R15,220k,R0402,142.4786,-92.54175,180.0,top
R16,220k,R0402,154.5436,-92.54175,0.0,top
R17,220k,R0402,142.4786,-93.81175,180.0,top
R18,220k,R0402,154.5436,-93.81175,0.0,top
R19,1.0k,R0402,146.6061,-98.25675,90.0,top
R20,1.0M,R0402,151.6861,-98.25675,-90.0,top
R21,1.0M,R0402,152.9561,-98.25675,-90.0,top
R22,180,R0402,141.2086,-111.59175,0.0,top
R23,180,R0402,155.8136,-111.59175,180.0,top
R24,4.7k,R0402,141.2086,-123.65685,0.0,top
R25,1.0M,R0402,155.1787,-124.76795,90.0,top
R26,10k,R0402,154.7023,-126.83185,180.0,top
R27,1.5M,R0402,144.5423,-127.14915,-90.0,top
R28,100k,R0402,154.7024,-128.10185,180.0,top
R29,100k,R0402,144.0661,-128.89555,180.0,top
R30,10k,R0402,155.3374,-130.16545,90.0,top
R31,1.0k,R0402,146.7649,-131.59415,0.0,top
R32,1.0M,R0402,150.2572,-131.59415,180.0,top
R33,470k,R0402,141.5261,-133.49925,90.0,top
R34,180,R0402,141.2086,-147.46925,180.0,top
R35,180,R0402,150.0986,-147.46925,180.0,top
R36,100k,R0402,156.1311,-147.46925,180.0,top
R37,1.0M,R0402,146.7649,-147.46935,0.0,top
