"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R7,R2,R9,R6,R11,R1";"R0402";6;"200k";;;
2;"R17,R15,R18,R16";"R0402";4;"220k";;;
3;"R34,R23,R12,R22,R35,R14,R13";"R0402";7;"180";;;
4;"IC5,IC2";"SOT23-5";2;"LM321MF";;;
5;"R27";"R0402";1;"1.5M";;;
6;"R36,R4,R29,R28,R5,R8,R3";"R0402";7;"100k";;;
7;"IC4";"TSSOP14";1;"OPA4171";;;
8;"D3,D6,D5,D10,D9,D12,D7,D4,D8,D11";"SOD523";10;"1N4148";;;
9;"C7,C10,C8,C4,C3";"C0402";5;"100n";;;
10;"J8,J11,J3,J10,J7,J6,J5,J2,J12,J9,J4,J1";"WQP_PJ_301M6";12;"PJ301_THONKICONN6";;;
11;"R10,R19,R31";"R0402";3;"1.0k";;;
12;"L2,L1";"0603";2;"";;;
13;"R33";"R0402";1;"470k";;;
14;"C11";"C0603";1;"10n";;;
15;"IC1,IC3";"TSSOP14";2;"TL074PW";;;
16;"C2,C5,C6,C1";"C0805";4;"22u";;;
17;"LED2,LED3,LED1";"LED3MM";3;"WP937EGW";;;
18;"R25,R21,R37,R32,R20";"R0402";5;"1.0M";;;
19;"Q3";"SOT23";1;"MMBFJ309";;;
20;"R26,R30";"R0402";2;"10k";;;
21;"C12";"C0402";1;"100p";;;
22;"R24";"R0402";1;"4.7k";;;
23;"D1,D2";"SOD523";2;"PMEG2010AEB";;;
24;"C9,C13";"C0603";2;"4.7u";;;
25;"Q1,Q2";"SOT23-BEC";2;"MMBT3904";;;
26;"JP1";"AVR_ICSP";1;"M05X2PTH";;;
27;"U$2";"ROHS";1;"";;;
