Comment,Designator,Footprint,LCSC
M05X2PTH,JP1,AVR_ICSP,
51,R5,R0603,
4.7u,C1,PANASONIC_A,
4.7u,C2,PANASONIC_A,
100n,C4,C0603,
100n,C3,C0603,
1N5819HW,D2,SOD123,
1N5819HW,D1,SOD123,
WP937EGW,LED1,LED3MM,
WP937EGW,LED2,LED3MM,
OPA4171,IC1,TSSOP14,
51,R2,R0603,
51,R4,R0603,
1.0k,R3,R0603,
10M,R1,R0603,
TL072PW,IC2,TSSOP8,
100k,R9,R0603,
100k,R8,R0603,
100k,R7,R0603,
51,R12,R0603,
1.0k,R11,R0603,
51,R13,R0603,
TL072PW,IC4,TSSOP8,
100n,C5,C0603,
100n,C7,C0603,
10p,C6,C0603,
100k,R6,R0603,
100k,R10,R0603,
WP937EGW,LED3,LED3MM,
100k,R17,R0603,
100k,R20,R0603,
100k,R16,R0603,
100k,R18,R0603,
1.0k,R19,R0603,
51,R21,R0603,
10p,C9,C0603,
33k,R15,R0603,
100k,R14,R0603,
LM321MF,IC3,SOT23-5,
LM321MF,IC5,SOT23-5,
100n,C8,C0603,
100n,C10,C0603,
PJ301_THONKICONN6,J1,WQP_PJ_301M6,
PJ301_THONKICONN6,J4,WQP_PJ_301M6,
PJ301_THONKICONN6,J2,WQP_PJ_301M6,
PJ301_THONKICONN6,J3,WQP_PJ_301M6,
PJ301_THONKICONN6,J8,WQP_PJ_301M6,
PJ301_THONKICONN6,J7,WQP_PJ_301M6,
PJ301_THONKICONN6,J5,WQP_PJ_301M6,
PJ301_THONKICONN6,J6,WQP_PJ_301M6,
PJ301_THONKICONN6,J12,WQP_PJ_301M6,
PJ301_THONKICONN6,J9,WQP_PJ_301M6,
PJ301_THONKICONN6,J10,WQP_PJ_301M6,
PJ301_THONKICONN6,J11,WQP_PJ_301M6,
