Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4.7u,CP_Elec_3x5.3,141.0,-60.3,90.0,top
C2,4.7u,CP_Elec_3x5.3,154.2261,-60.15675,90.0,top
C3,100n,C0603,143.8,-60.25,90.0,top
C4,100n,C0603,156.7661,-59.83925,90.0,top
C5,100n,C0603,147.5586,-90.31925,180.0,top
C6,10p,C0603,153.4324,-92.54175,90.0,top
C7,100n,C0603,146.9236,-94.76425,180.0,top
C8,100n,C0603,147.8761,-123.97425,180.0,top
C9,10p,C0603,152.7974,-127.30795,90.0,top
C10,100n,C0603,148.6,-131.8,90.0,top
D1,1N5819HW,SOD123,140.9351,-54.60045,90.0,top
D2,1N5819HW,SOD123,156.0871,-54.60045,-90.0,top
IC1,OPA4171,TSSOP14,148.5111,-59.83925,-90.0,top
IC2,TL072PW,TSSOP8,149.1461,-92.54175,-90.0,top
IC3,LM321?MF,SOT23-5,154.8611,-96.66915,180.0,top
IC4,TL072PW,TSSOP8,148.1936,-127.78425,-90.0,top
IC5,LM321?MF,SOT23-5,155.1786,-131.59425,180.0,top
J1,PJ301_THONKICONN6,WQP_PJ_301M6,143.828,-71.8598,0.0,top
J2,PJ301_THONKICONN6,WQP_PJ_301M6,153.1943,-71.8598,0.0,top
J3,PJ301_THONKICONN6,WQP_PJ_301M6,143.828,-84.5598,0.0,top
J4,PJ301_THONKICONN6,WQP_PJ_301M6,153.1943,-84.5598,0.0,top
J5,PJ301_THONKICONN6,WQP_PJ_301M6,143.8279,-106.1498,0.0,top
J6,PJ301_THONKICONN6,WQP_PJ_301M6,153.1941,-106.1498,0.0,top
J7,PJ301_THONKICONN6,WQP_PJ_301M6,143.828,-118.8498,0.0,top
J8,PJ301_THONKICONN6,WQP_PJ_301M6,153.1942,-118.8498,0.0,top
J9,PJ301_THONKICONN6,WQP_PJ_301M6,143.8279,-139.8937,180.0,top
J10,PJ301_THONKICONN6,WQP_PJ_301M6,153.1943,-139.8937,180.0,top
J11,PJ301_THONKICONN6,WQP_PJ_301M6,143.828,-152.6731,180.0,top
J12,PJ301_THONKICONN6,WQP_PJ_301M6,153.1943,-152.5937,180.0,top
JP1,M05X2PTH,AVR_ICSP,148.5111,-53.95275,270.0,bottom
LED1,WP937EGW,LED3MM,143.9397,-63.3,180.0,top
LED2,WP937EGW,LED3MM,143.9397,-97.6,180.0,top
LED3,WP937EGW,LED3MM,143.9397,-131.9,180.0,top
R1,10M,R0603,149.3,-64.0,90.0,top
R2,51,R0603,151.3686,-63.64925,-90.0,top
R3,1.0k,R0603,147.0,-64.0,-90.0,top
R4,51,R0603,146.9236,-77.30175,180.0,top
R5,51,R0603,155.6549,-77.30175,180.0,top
R6,100k,R0603,144.0661,-92.54175,180.0,top
R7,100k,R0603,154.8611,-92.54175,90.0,top
R8,100k,R0603,143.2724,-94.76425,90.0,top
R9,100k,R0603,144.7011,-94.76425,90.0,top
R10,100k,R0603,150.0986,-94.76425,0.0,top
R11,1.0k,R0603,152.0036,-98.25665,-90.0,top
R12,51,R0603,146.9236,-111.59175,180.0,top
R13,51,R0603,155.6548,-111.59175,0.0,top
R14,100k,R0603,147.8761,-125.40295,0.0,top
R15,33k,R0603,142.7961,-126.67305,180.0,top
R16,100k,R0603,154.2261,-127.30795,90.0,top
R17,100k,R0603,141.8436,-128.89545,90.0,top
R18,100k,R0603,143.7485,-128.89545,90.0,top
R19,1.0k,R0603,152.6386,-131.27675,-90.0,top
R20,100k,R0603,140.7,-132.1,90.0,top
R21,51,R0603,155.6549,-147.15175,180.0,top
