Comment,Designator,Footprint,LCSC
2.2u,C10,C0805,
22u,C22,PANASONIC_C,
FIDUCIAL1X2,F2,FIDUCIAL-1X2,
180,R82,R0402,
LED_Dual_KAKA,LED4-2,bicolor 0606 LED,
47p,C34,C0402,
200k,R28,R0402,
200k,R31,R0402,
10kB,R38,ALPS_POT_VERTICAL_PS,
100k,R24,R0402,
LED_Dual_KAKA,LED7-2,bicolor 0606 LED,
10kB,R14,ALPS_POT_VERTICAL_PS,
FIDUCIAL1X2,F3,FIDUCIAL-1X2,
100n,C38,C0402,
PJ301_THONKICONN6,J11,WQP_PJ_301M6,
100k,R66,R0402,
1.5k,R36,R0402,
100k,R26,R0402,
1.0k,R63,R0603,
2.2k,R19,R0402,
100n,C18,C0402,
33k,R59,R0402,
100n,C7,C0402,
22u,C14,C1206,
33k,R42,R0402,
LM4040B10,IC8,DBZ_R-PDSO-G3,
8MHz,Q1,CTS406,
ESD,C53,C0603,
180,R84,R0402,
PJ301_THONKICONN6,J7,WQP_PJ_301M6,
LED-BICOLOR-THROUGHHOLE,LED5,LED-BICOLOR-THROUGHHOLE-2.54,
100k,R32,R0402,
LED_Dual_KAKA,LED5-2,bicolor 0606 LED,
100n,C48,C0402,
2.2u,C20,C0805,
100k,R27,R0402,
56k,R69,R0402,
33k,R41,R0402,
100k,R61,R0402,
10kB,R16,ALPS_POT_VERTICAL_PS,
1N5819HW,D2,SOD123,
10kB,R13,ALPS_POT_VERTICAL_PS,
23.7k,R54,R0402,
1.5k,R17,R0402,
22u,C27,PANASONIC_C,
LED_Dual_KAKA,LED9-2,bicolor 0606 LED,
1.0k,R85,R0603,
WP937EGW,LED10,LED3MM,
TL074PW,IC10,TSSOP14_065,
10k,R55,R0402,
1N4148,D5,SOD523,
ESD,C55,C0603,
4.7n,C40,C0402,
33k,R57,R0402,
100n,C8,C0402,
100n,C47,C0402,
10kB,R4,ALPS_POT_VERTICAL_PS,
WP937EGW,LED8,LED3MM,
1k,R1,R0603,
10k,R22,R0402,
10k,R67,R0402,
1.0k,R87,R0603,
22u,C2,PANASONIC_C,
100k,R33,R0402,
470p,C41,C0402,
MMBT3904,Q3,SOT23-BEC,
STM32F405RGT6,IC2,TQFP-10X10-64,
1.0k,R46,R0603,
PJ301_THONKICONN6,J16,WQP_PJ_301M6,
1k,R5,R0603,
BAT54S,D3,SOT23,
100n,C9,C0402,
ESD,C54,C0603,
20p,C4,C0402,
1.0k,R62,R0603,
WP937EGW,LED6,LED3MM,
100k,R65,R0402,
10kB,R37,ALPS_POT_VERTICAL_PS,
100n,C28,C0402,
100n,C36,C0402,
200k,R72,R0402,
WE-CBF_0603,L3,0603,
33k,R58,R0402,
100n,C37,C0402,
SW_Push_LED,SW1,C&K_D6R,
33u,L1,L2012C,
