Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C0402,134.5311,-62.1411,-90.0,top
C2,22u,PANASONIC_C,131.0386,-63.4111,90.0,top
C3,22u,C1206,108.5,-66.0,180.0,top
C4,20p,C0402,165.0112,-64.3636,90.0,top
C5,22u,C1206,118.0,-66.0,0.0,top
C6,20p,C0402,157.0737,-65.6336,-90.0,top
C7,100n,C0402,171.6786,-67.8561,-90.0,top
C8,100n,C0402,144.0561,-69.1261,-90.0,top
C9,100n,C0402,152.7874,-71.1898,90.0,top
C10,2.2u,C0805,149.2949,-71.9836,180.0,top
C11,22u,PANASONIC_C,116.91,-74.2063,90.0,top
C12,100n,C0402,162.7886,-74.8411,-90.0,top
C13,100n,C0402,147.5486,-75.4761,90.0,top
C14,22u,C1206,116.4336,-79.2861,180.0,top
C15,2.2u,C0805,147.2311,-83.7311,-90.0,top
C16,100n,C0402,149.1361,-84.3661,-90.0,top
C17,100n,C0402,125.6411,-84.6836,180.0,top
C18,100n,C0402,170.0911,-84.8423,180.0,top
C19,100n,C0402,160.2486,-85.6361,-90.0,top
C20,2.2u,C0805,158.6611,-87.5411,-90.0,top
C21,100n,C0402,161.0423,-88.6523,180.0,top
C22,22u,PANASONIC_C,110.0836,-89.4461,180.0,top
C23,22u,PANASONIC_C,118.9736,-89.4461,0.0,top
C24,100n,C0402,143.4212,-95.7961,-90.0,top
C25,470n,C0402,161.2011,-97.2248,0.0,top
C26,100n,C0402,157.7086,-97.3837,180.0,top
C27,22u,PANASONIC_C,158.3437,-102.9399,90.0,top
C28,100n,C0402,111.6711,-108.1786,180.0,top
C29,100n,C0402,184.0611,-108.1786,180.0,top
C30,4.7n,C0402,117.8624,-116.1161,180.0,top
C31,470p,C0402,121.6724,-116.1161,0.0,top
C32,4.7n,C0402,124.0536,-116.1161,180.0,top
C33,4.7n,C0402,126.5936,-116.1161,0.0,top
C34,47p,C0402,168.8211,-118.098,0.0,top
C35,47p,C0402,177.0761,-118.098,180.0,top
C36,100n,C0402,157.7086,-120.2436,-90.0,top
C37,100n,C0402,179.2,-122.2,-90.0,top
C38,100n,C0402,133.7374,-123.1011,180.0,top
C39,100n,C0402,167.2336,-123.1011,180.0,top
C40,4.7n,C0402,118.1799,-124.3711,180.0,top
C41,470p,C0402,123.4186,-124.3711,180.0,top
C42,4.7n,C0402,127.2286,-124.3711,0.0,top
C43,47p,C0402,168.4,-126.0,0.0,top
C44,47p,C0402,178.6,-128.8,180.0,top
C45,ESD,C0603,190.0936,-125.9586,90.0,top
C46,100n,C0402,119.7674,-126.2761,-90.0,top
C47,100n,C0402,125.3236,-126.2761,-90.0,top
C48,100n,C0402,154.3749,-126.2761,90.0,top
C49,100n,C0402,163.7,-126.9,90.0,top
C50,100n,C0402,142.3099,-126.911,-90.0,top
C51,470n,C0402,181.7,-131.4,0.0,top
C52,470n,C0402,134.8486,-129.1336,0.0,top
C53,ESD,C0603,109.1311,-129.6098,180.0,top
C54,ESD,C0603,153.8986,-135.8011,90.0,top
C55,ESD,C0603,165.9636,-136.35,90.0,top
C56,ESD,C0603,118.9736,-140.5,90.0,top
C57,ESD,C0603,165.9636,-139.525,90.0,top
C58,ESD,C0603,127.3872,-144.0561,180.0,top
D1,1N5819HW,SOD123,127.695,-57.6959,90.0,top
D2,1N5819HW,SOD123,109.7661,-85.4676,0.0,top
D3,BAT54S,SOT23,137.3887,-103.0986,180.0,top
D4,1N4148,SOD523,138.1195,-106.8586,90.0,top
D5,1N4148,SOD523,141.5789,-108.2285,-90.0,top
F1,FIDUCIAL1X2,FIDUCIAL-1X2,188.8236,-53.8861,0.0,top
F2,FIDUCIAL1X2,FIDUCIAL-1X2,191.0461,-152.9461,0.0,top
F3,FIDUCIAL1X2,FIDUCIAL-1X2,106.5911,-155.4861,0.0,top
H3,MOUNT-HOLE3.0TINY,"3,0TINY",185.3311,-86.9061,0.0,top
H5,MOUNT-HOLE3.0TINY,"3,0TINY",111.0361,-112.3061,0.0,top
IC1,R-78E3.3-0.5,WE78,109.0536,-58.3311,90.0,top
IC2,STM32F405RGT6,TQFP-10X10-64,155.1813,-78.9432,-90.0,top
IC3,LD2981ABU33,SOT89,117.7037,-83.7611,180.0,top
IC4,DAC8565,TSSOP-16_4.4x5mm_P0.65mm,161.5186,-92.9386,90.0,top
IC5,MCP6004,TSSOP14_065,119.7674,-120.2436,0.0,top
IC6,MCP6004,TSSOP14_065,125.3236,-120.2436,0.0,top
IC7,OPA4171,SO-14_3.9x8.65mm_P1.27mm,173.8,-123.5,0.0,top
IC8,LM4040B10,DBZ_R-PDSO-G3,135.1661,-125.3236,-90.0,top
IC9,LM324PW,TSSOP14_065,146.7549,-125.7998,-90.0,top
IC10,TL074PW,TSSOP14_065,158.8199,-126.9111,-90.0,top
J1,PJ301_THONKICONN6,WQP_PJ_301M6,112.3061,-122.19305,180.0,top
J2,PJ301_THONKICONN6,WQP_PJ_301M6,184.6961,-122.19305,180.0,top
J3,PJ301_THONKICONN6,WQP_PJ_301M6,112.3061,-136.79805,180.0,top
J4,PJ301_THONKICONN6,WQP_PJ_301M6,124.3711,-136.79805,180.0,top
J5,PJ301_THONKICONN6,WQP_PJ_301M6,136.4361,-136.79805,180.0,top
J6,PJ301_THONKICONN6,WQP_PJ_301M6,148.5011,-136.79805,180.0,top
J7,PJ301_THONKICONN6,WQP_PJ_301M6,160.5661,-136.79805,180.0,top
J8,PJ301_THONKICONN6,WQP_PJ_301M6,172.6311,-136.79805,180.0,top
J9,PJ301_THONKICONN6,WQP_PJ_301M6,184.6961,-136.79805,180.0,top
J10,PJ301_THONKICONN6,WQP_PJ_301M6,112.3061,-151.40305,180.0,top
J11,PJ301_THONKICONN6,WQP_PJ_301M6,124.3711,-151.40305,180.0,top
J12,PJ301_THONKICONN6,WQP_PJ_301M6,136.4361,-151.40305,180.0,top
J13,PJ301_THONKICONN6,WQP_PJ_301M6,148.5011,-151.40305,180.0,top
J14,PJ301_THONKICONN6,WQP_PJ_301M6,160.5661,-151.40305,180.0,top
J15,PJ301_THONKICONN6,WQP_PJ_301M6,172.6311,-151.40305,180.0,top
J16,PJ301_THONKICONN6,WQP_PJ_301M6,184.6961,-151.40305,180.0,top
J17,Conn_01x04_Male,PinHeader_1x04_P2.54mm_Vertical_SMD_Pin1Left,179.7,-87.9,180.0,top
JP1,M04PTH,1X04,181.2036,-75.4761,90.0,bottom
JP2,M02PTH,1X02,165.0111,-60.2361,180.0,bottom
JP4,M05X2SHD,2X5-SHROUDED,135.8011,-56.4261,90.0,bottom
L1,33u,L2012C,113.25,-66.0,180.0,top
L2,WE-CBF_0603,0603,120.1436,-71.19,0.0,top
L3,WE-CBF_0603,0603,119.6086,-79.2274,90.0,top
L4,WE-CBF_0603,0603,113.5761,-86.5299,90.0,top
LED1,LED-BICOLOR-THROUGHHOLE,LED-BICOLOR-THROUGHHOLE-2.54,109.7,-70.65,180.0,top
LED2,LED-BICOLOR-THROUGHHOLE,LED-BICOLOR-THROUGHHOLE-2.54,187.2,-70.65,180.0,top
LED3,LED-BICOLOR-THROUGHHOLE,LED-BICOLOR-THROUGHHOLE-2.54,129.4,-94.748025,180.0,top
LED4,LED-BICOLOR-THROUGHHOLE,LED-BICOLOR-THROUGHHOLE-2.54,167.5,-94.748025,180.0,top
LED5,LED-BICOLOR-THROUGHHOLE,LED-BICOLOR-THROUGHHOLE-2.54,148.45,-116.95,180.0,top
LED6,WP937EGW,LED3MM,108.8,-144.8,180.0,top
LED7,WP937EGW,LED3MM,120.8,-144.783189,180.0,top
LED8,WP937EGW,LED3MM,132.9,-144.8,180.0,top
LED9,WP937EGW,LED3MM,144.95,-144.8,180.0,top
LED10,WP937EGW,LED3MM,157.0,-144.75,180.0,top
LED11,WP937EGW,LED3MM,169.05,-144.8,180.0,top
LED12,WP937EGW,LED3MM,181.1,-144.8,180.0,top
Q1,8MHz,CTS406,160.8836,-64.9986,0.0,top
Q2,MMBT3904,SOT23-BEC,139.9286,-104.8449,0.0,top
Q3,MMBT3904,SOT23-BEC,143.4211,-104.8449,0.0,top
R1,680,R0603,125.0,-63.5,135.0,top
R2,100,R0402,155.8036,-61.8236,-90.0,top
R3,100,R0402,156.9148,-61.8236,-90.0,top
R4,10kB,ALPS_POT_VERTICAL_PS,148.5011,-63.98425,180.0,top
R5,680,R0603,183.25,-62.75,45.0,top
R6,10k,R0402,170.7261,-67.8561,-90.0,top
R7,100,R0402,158.3436,-68.3324,0.0,top
R8,100,R0402,159.9312,-69.2848,0.0,top
R9,2.2k,R0402,108.4961,-72.9361,180.0,top
R10,1.5k,R0402,111.0361,-72.9361,0.0,top
R11,2.2k,R0402,185.9661,-73.2536,180.0,top
R12,1.5k,R0402,188.5061,-73.2536,0.0,top
R13,10kB,ALPS_POT_VERTICAL_PS,126.2761,-77.00175,180.0,top
R14,10kB,ALPS_POT_VERTICAL_PS,170.7261,-77.00175,180.0,top
R15,2.2k,R0402,167.2,-89.9,-90.0,top
R16,10kB,ALPS_POT_VERTICAL_PS,148.5011,-92.87675,180.0,top
R17,1.5k,R0402,168.6,-89.9,-90.0,top
R18,1.5k,R0402,131.5,-90.25,-135.0,top
R19,2.2k,R0402,133.75,-95.25,-90.0,top
R20,10kB,ALPS_POT_VERTICAL_PS,112.3061,-100.17925,180.0,top
R21,10kB,ALPS_POT_VERTICAL_PS,184.6961,-100.17925,180.0,top
R22,10k,R0402,140.5636,-102.1462,0.0,top
R23,10k,R0402,142.7862,-102.1462,180.0,top
R24,100k,R0402,140.0874,-107.5437,180.0,top
R25,100k,R0402,143.5798,-107.5437,180.0,top
R26,100k,R0402,140.0874,-108.6549,180.0,top
R27,100k,R0402,143.5798,-108.655,180.0,top
R28,200k,R0402,121.0374,-111.6711,90.0,top
R29,200k,R0402,124.6886,-111.6711,90.0,top
R30,200k,R0402,119.7674,-112.9411,90.0,top
R31,200k,R0402,125.9586,-113.0998,90.0,top
R32,100k,R0402,127.2286,-113.0998,90.0,top
R33,100k,R0402,117.8624,-113.5761,180.0,top
R34,100k,R0402,121.6724,-113.5761,0.0,top
R35,100k,R0402,124.0536,-113.5761,180.0,top
R36,1.5k,R0402,153.25,-113.35,-90.0,top
R37,10kB,ALPS_POT_VERTICAL_PS,134.3724,-115.41925,180.0,top
R38,10kB,ALPS_POT_VERTICAL_PS,162.6298,-115.41925,180.0,top
R39,33k,R0402,117.8624,-114.8461,0.0,top
R40,33k,R0402,121.6724,-114.8461,180.0,top
R41,33k,R0402,124.0536,-114.8461,0.0,top
R42,33k,R0402,126.5936,-114.8461,180.0,top
R43,100k,R0402,168.8211,-116.828,180.0,top
R44,100k,R0402,177.076,-116.828,0.0,top
R45,1.0k,R0603,171.3612,-117.463,180.0,top
R46,1.0k,R0603,174.5361,-117.463,0.0,top
R47,23.7k,R0402,168.4,-121.2,180.0,top
R48,23.7k,R0402,179.4,-118.1,90.0,top
R49,39k,R0402,149.4535,-121.6722,180.0,top
R50,39k,R0402,144.0561,-121.6725,0.0,top
R51,56k,R0402,144.0563,-122.6246,180.0,top
R52,56k,R0402,149.4535,-122.6248,0.0,top
R53,23.7k,R0402,179.2,-124.5,90.0,top
R54,23.7k,R0402,167.2,-124.4,180.0,top
R55,10k,R0402,151.1999,-124.6884,90.0,top
R56,10k,R0402,142.31,-124.6885,90.0,top
R57,33k,R0402,118.1799,-125.6411,0.0,top
R58,33k,R0402,123.4186,-125.6411,0.0,top
R59,33k,R0402,127.2286,-125.6411,180.0,top
R60,100k,R0402,166.2,-126.935,90.0,top
R61,100k,R0402,179.2,-126.9,-90.0,top
R62,1.0k,R0603,168.1825,-127.57,0.0,top
R63,1.0k,R0603,178.4,-130.2,180.0,top
R64,100k,R0402,118.1799,-126.9111,180.0,top
R65,100k,R0402,123.4186,-126.9111,180.0,top
R66,100k,R0402,127.2286,-126.9111,0.0,top
R67,10k,R0402,151.2,-126.9111,-90.0,top
R68,1.0k,R0402,134.8486,-127.8636,180.0,top
R69,56k,R0402,150.0887,-128.4985,0.0,top
R70,200k,R0402,119.1324,-128.8161,-90.0,top
R71,200k,R0402,124.0536,-128.8161,-90.0,top
R72,200k,R0402,126.5936,-128.8161,-90.0,top
R73,100k,R0402,181.7,-130.4,180.0,top
R74,150k,R0402,181.7,-129.4,0.0,top
R75,39k,R0402,150.0885,-129.4512,180.0,top
R76,100k,R0402,115.1636,-131.3561,180.0,top
R77,100k,R0402,179.2986,-133.5786,-90.0,top
R78,680,R0402,143.0,-149.25,-90.0,top
R79,680,R0402,155.0,-149.5,-90.0,top
R80,680,R0402,167.25,-149.5,-90.0,top
R81,680,R0402,179.25,-149.5,-90.0,top
R82,180,R0402,106.9,-149.2,90.0,top
R83,180,R0402,119.0,-149.25,90.0,top
R84,180,R0402,131.0,-149.25,90.0,top
R85,1.0k,R0603,118.0,-152.5,90.0,top
R86,1.0k,R0603,129.9,-152.5,90.0,top
R87,1.0k,R0603,130.9,-156.2,90.0,top
SW1,SW_Push_LED,C&K_D6R,119.786513,-58.3311,0.0,top
SW2,SW_Push_LED,C&K_D6R,178.206513,-58.3311,0.0,top
SW3,TAC_SWITCHPTH,TACTILE-PTH,109.7661,-79.2861,-90.0,top
SW4,TAC_SWITCHPTH,TACTILE-PTH,187.2361,-79.2861,90.0,top
