Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22u,PANASONIC_C,164.0686,-58.6486,90.0,top
C2,22u,PANASONIC_C,141.2086,-61.1886,180.0,top
C3,100n,C0603,146.2886,-63.2523,90.0,top
C4,22u,PANASONIC_C,148.1936,-68.4911,90.0,top
C5,100n,C0603,142.1611,-80.8736,0.0,top
C6,18p,C0603,145.9711,-80.8736,180.0,top
C7,18p,C0603,149.4636,-80.8736,180.0,top
C8,100n,C0603,148.5111,-84.3661,90.0,top
C9,100n,C0603,138.9861,-94.2086,-90.0,top
C10,100n,C0603,147.5586,-96.1136,0.0,top
C11,470n,C0603,157.0836,-99.9236,-90.0,top
C12,100n,C0603,146.2886,-106.9086,180.0,top
C13,3.3u,C0603,146.2886,-108.4961,180.0,top
C14,220p,C0603,145.0186,-114.2111,-90.0,top
C15,220p,C0603,150.0986,-114.2111,90.0,top
C16,100n,C0603,143.4311,-118.3386,-90.0,top
C17,18p,C0603,144.3836,-126.2761,-90.0,top
C18,100n,C0603,149.4636,-126.2761,90.0,top
C19,220p,C0603,145.0186,-134.2136,-90.0,top
C20,220p,C0603,150.0986,-134.2136,90.0,top
C21,100n,C0603,143.4311,-139.2936,-90.0,top
C22,470n,C0603,158.6711,-141.8336,90.0,top
C23,18p,C0603,142.7961,-142.7861,0.0,top
C24,100n,C0603,146.2886,-145.3261,0.0,top
D1,1N5819HW,SOD123,135.4936,-54.6151,0.0,top
D2,1N5819HW,SOD123,158.3536,-54.6151,0.0,top
F1,FIDUCIAL1X2,FIDUCIAL-1X2,131.6836,-54.2036,0.0,top
F2,FIDUCIAL1X2,FIDUCIAL-1X2,165.9736,-54.2036,0.0,top
F3,FIDUCIAL1X2,FIDUCIAL-1X2,131.6836,-155.8036,0.0,top
F4,FIDUCIAL1X2,FIDUCIAL-1X2,165.3386,-155.8036,0.0,top
IC1,REG1117,SOT223,141.2086,-68.8086,180.0,top
IC2,LM4041DBZ,DBZ_R-PDSO-G3,154.5436,-99.9236,0.0,top
IC3,DAC8552,MSOP-8,147.5586,-102.4636,0.0,top
IC4,TL072D,SO08,146.9236,-120.2436,0.0,top
IC5,TL072D,SO08,146.9236,-140.2461,0.0,top
IC6,LM4041DBZ,DBZ_R-PDSO-G3,156.1311,-141.8336,0.0,top
J1,PJ301_THONKICONN6,WQP_PJ_301M6,135.76665,-122.7836,90.0,top
J2,PJ301_THONKICONN6,WQP_PJ_301M6,135.76665,-151.9936,90.0,top
J3,PJ301_THONKICONN6,WQP_PJ_301M6,150.0986,-151.72055,180.0,top
J4,PJ301_THONKICONN6,WQP_PJ_301M6,161.5286,-151.72055,180.0,top
JP1,M06SIP,1X06,165.3386,-81.8261,270.0,bottom
JP2,M05X2MINIJTAG,2X5-1.27,165.51005,-68.8086,0.0,bottom
JP3,M05X2PTH,AVR_ICSP,146.9236,-55.1434,270.0,bottom
L1,WE-CBF_0603,0603,148.1936,-63.1936,90.0,top
LED1,LED3MM,LED3MM,133.4489,-66.9036,0.0,top
LED2,LED3MM,LED3MM,133.4489,-79.6036,0.0,top
LED3,LED3MM,LED3MM,133.4489,-85.0011,0.0,top
LED4,LED3MM,LED3MM,133.4489,-90.3986,0.0,top
LED5,LED3MM,LED3MM,133.4489,-95.7961,0.0,top
Q1,8MHz,HC49UP,147.5586,-77.3811,0.0,top
Q2,MMBT3904,SOT23-BEC,133.9,-115.9,-90.0,top
Q3,MMBT3904,SOT23-BEC,133.5886,-145.1475,-90.0,top
R1,10kB,ALPS_POT_VERTICAL_PS,155.8136,-65.88925,180.0,top
R2,100,R0603,130.7311,-66.9036,-90.0,top
R3,10k,R0603,145.3361,-72.3011,0.0,top
R4,100,R0603,130.7311,-82.1436,-90.0,top
R5,10kB,ALPS_POT_VERTICAL_PS,155.8136,-87.79675,180.0,top
R6,100,R0603,130.7311,-87.2236,-90.0,top
R7,100,R0603,130.7311,-92.9386,-90.0,top
R8,100,R0603,130.7311,-98.3361,-90.0,top
R9,3.3k,R0603,152.0036,-99.9236,90.0,top
R10,680,R0603,140.0,-103.3,135.0,top
R11,10kB,ALPS_POT_VERTICAL_PS,155.8136,-109.70425,180.0,top
R12,39k,R0603,147.5586,-113.2586,0.0,top
R13,10k,R0603,163.7511,-114.5286,90.0,top
R14,39k,R0603,147.5586,-115.1636,180.0,top
R15,100k,R0603,131.0486,-115.9,90.0,top
R16,10k,R0603,137.7161,-115.7,0.0,top
R17,39k,R0603,150.4161,-120.2436,90.0,top
R18,249k,R0603,145.9711,-126.2761,90.0,top
R19,309k,R0603,147.5586,-126.2761,-90.0,top
R20,1.0k,R0603,144.3836,-129.4511,90.0,top
R21,10kB,ALPS_POT_VERTICAL_PS,155.8136,-131.61175,180.0,top
R22,39k,R0603,147.5586,-133.2611,0.0,top
R23,680,R0603,140.4,-132.7,135.0,top
R24,39k,R0603,147.5586,-135.1661,180.0,top
R25,3.3k,R0603,160.2586,-141.8336,-90.0,top
R26,39k,R0603,151.0511,-142.7861,0.0,top
R27,100k,R0603,130.7311,-145.1475,90.0,top
R28,10k,R0603,137.3986,-145.1475,180.0,top
R29,249k,R0603,142.7961,-144.3736,180.0,top
R30,309k,R0603,151.0511,-144.3736,0.0,top
R31,1.0k,R0603,142.7961,-145.9611,0.0,top
SW1,TAC_SWITCHPTH,TACTILE-PTH,133.5886,-60.5536,90.0,top
