"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R12,R17,R22,R26,R24,R14";"R0603";6;"39k";;;
2;"C21,C12,C3,C10,C24,C8,C18,C9,C5,C16";"C0603";10;"100n";;;
3;"IC5,IC4";"SO08";2;"TL072D";;;
4;"J1,J2,J4,J3";"WQP_PJ_301M6";4;"PJ301_THONKICONN6";;;
5;"C17,C23,C7,C6";"C0603";4;"18p";;;
6;"UC1";"LQFP48";1;"STM32F103CB";;;
7;"R16,R28,R3,R13";"R0603";4;"10k";;;
8;"R10,R23";"R0603";2;"680";;;
9;"R4,R7,R2,R6,R8";"R0603";5;"100";;;
10;"R27,R15";"R0603";2;"100k";;;
11;"LED4,LED3,LED2,LED1,LED5";"LED3MM";5;"LED3MM";;;
12;"F4,F2,F1,F3";"FIDUCIAL-1X2";4;"FIDUCIAL1X2";;;
13;"R29,R18";"R0603";2;"249k";;;
14;"SW3,SW5";"k2-1808 pushbutton switch";2;"EVQQ2";;;
15;"C2,C1,C4";"PANASONIC_C";3;"22u";;;
16;"R19,R30";"R0603";2;"309k";;;
17;"C19,C15,C14,C20";"C0603";4;"220p";;;
18;"SW7,SW8";"C&K_D6R";2;"SW_Push_LED";;;
19;"L1";"0603";1;"WE-CBF_0603";;;
20;"C22,C11";"C0603";2;"470n";;;
21;"IC2,IC6";"DBZ_R-PDSO-G3";2;"LM4041DBZ";;;
22;"R31,R20";"R0603";2;"1.0k";;;
23;"D2,D1";"SOD123";2;"1N5819HW";;;
24;"SW2,SW1";"TACTILE-PTH";2;"TAC_SWITCHPTH";;;
25;"IC1";"SOT223";1;"REG1117";;;
26;"IC3";"MSOP-8";1;"DAC8552";;;
27;"Q3,Q2";"SOT23-BEC";2;"MMBT3904";;;
28;"Q1";"HC49UP";1;"8MHz";;;
29;"R21,R11,R1,R5";"ALPS_POT_VERTICAL_PS";4;"10kB";;;
30;"R25,R9";"R0603";2;"3.3k";;;
31;"C13";"C0603";1;"3.3u";;;
32;"U$2";"ROHS";1;"";;;
33;"JP2";"2X5-1.27";1;"M05X2MINIJTAG";;;
34;"JP1";"1X06";1;"M06SIP";;;
35;"JP3";"AVR_ICSP";1;"M05X2PTH";;;
