Comment,Designator,Footprint,LCSC
FIDUCIAL1X2,JP2,FIDUCIAL-1X2,
FIDUCIAL1X2,JP4,FIDUCIAL-1X2,
FIDUCIAL1X2,JP3,FIDUCIAL-1X2,
PJ301_THONKICONN6,J7,WQP_PJ_301M6,
PJ301_THONKICONN6,J2,WQP_PJ_301M6,
PJ301_THONKICONN6,J8,WQP_PJ_301M6,
PJ301_THONKICONN6,J4,WQP_PJ_301M6,
PJ301_THONKICONN6,J3,WQP_PJ_301M6,
PJ301_THONKICONN6,J1,WQP_PJ_301M6,
PJ301_THONKICONN6,J5,WQP_PJ_301M6,
20p,C21,C0402,
20p,C14,C0402,
TLC59281DBQ,IC2,TSSOP24_0635,
100k,R38,R0402,
33k,R34,R0402,
140k,R29,R0402,
1.0n,C48,C0402,
100k,R39,R0402,
20k,R35,R0402,
120k,R36,R0402,
1.0n,C49,C0402,
100k,R15,R0402,
20k,R19,R0402,
120k,R23,R0402,
1.0n,C40,C0402,
100k,R40,R0402,
33k,R31,R0402,
200k,R30,R0402,
100p,C46,C0402,
100k,R41,R0402,
20k,R32,R0402,
120k,R33,R0402,
1.0n,C47,C0402,
100k,R13,R0402,
33k,R20,R0402,
200k,R27,R0402,
1.0n,C41,C0402,
10k,R3,R0402,
100n,C36,C0402,
100n,C44,C0402,
100n,C10,C0402,
10u,C16,PANASONIC_B,
100n,C8,C0402,
10u,C7,PANASONIC_B,
LD2981ABU33,IC3,SOT89,
100n,C20,C0402,
100n,C26,C0402,
100n,C23,C0402,
1u,C24,C0402,
1u,C19,C0402,
LM4040B10,IC9,DBZ_R-PDSO-G3,
2.2k,R37,R0402,
1u,C50,C0402,
22u,C4,PANASONIC_B,
22u,C5,PANASONIC_B,
10u,C22,PANASONIC_B,
1N5819HW,D1,SOD123,
1N5819HW,D2,SOD123,
WE-CBF_0603,L2,0603,
WE-CBF_0603,L3,0603,
100n,C6,C0402,
10u,C3,PANASONIC_B,
22u,C2,C1206,
22u,C1,C1206,
33u,L1,L2012C,
10k,R50,R0402,
PJ301_THONKICONN6,J6,WQP_PJ_301M6,
PJ301_THONKICONN6,J9,WQP_PJ_301M6,
PJ301_THONKICONN6,J10,WQP_PJ_301M6,
10kB,R42,ALPS_POT_VERTICAL,
10kB,R1,ALPS_POT_VERTICAL_PS,
10kB,R43,ALPS_POT_VERTICAL,
10kB,R7,ALPS_POT_VERTICAL_PS,
10kB,R44,ALPS_POT_VERTICAL,
10kB,R8,ALPS_POT_VERTICAL_PS,
STM32F373CCT6,IC4,LQFP48,
PCM5100APW,IC5,SSOP20,
100n,C27,C0402,
10u,C30,PANASONIC_B,
100n,C17,C0402,
2.2u,C29,C0805,
2.2u,C31,C0805,
100n,C18,C0402,
10k,R16,R0402,
33k,R28,R0402,
100p,C43,C0402,
10k,R21,R0402,
33k,R22,R0402,
100p,C42,C0402,
1.0k,R46,R0603,
1.0k,R47,R0603,
TL072PW,IC8,TSSOP08,
100n,C37,C0402,
100n,C45,C0402,
MCP6004,IC6,TSSOP14_065,
100n,C11,C0402,
100n,C32,C0402,
100n,C34,C0402,
100n,C53,C0402,
100n,C51,C0402,
100n,C52,C0402,
1u,C25,C0402,
10kB,R2,ALPS_POT_VERTICAL_PS,
100n,C12,C0402,
TAC_SWITCHPTH,SW1,TACTILE-PTH,
SSL-LX3059IGW-CA,LED8,LED-BICOLOR-THROUGHHOLE-LUMEX,
SSL-LX3059IGW-CA,LED7,LED-BICOLOR-THROUGHHOLE-LUMEX,
SSL-LX3059IGW-CA,LED6,LED-BICOLOR-THROUGHHOLE-LUMEX,
SSL-LX3059IGW-CA,LED5,LED-BICOLOR-THROUGHHOLE-LUMEX,
SSL-LX3059IGW-CA,LED4,LED-BICOLOR-THROUGHHOLE-LUMEX,
SSL-LX3059IGW-CA,LED3,LED-BICOLOR-THROUGHHOLE-LUMEX,
SSL-LX3059IGW-CA,LED2,LED-BICOLOR-THROUGHHOLE-LUMEX,
SSL-LX3059IGW-CA,LED1,LED-BICOLOR-THROUGHHOLE-LUMEX,
10k,R49,R0402,
10k,R48,R0402,
TAC_SWITCHPTH,SW2,TACTILE-PTH,
10k,R45,R0402,
MCP6004,IC7,TSSOP14_065,
100k,R14,R0402,
33k,R18,R0402,
110k,R26,R0402,
1.0n,C39,C0402,
10k,R51,R0402,
100n,C15,C0402,
FIDUCIAL1X2,JP1,FIDUCIAL-1X2,
1u,C9,C0402,
100,R9,R0402,
100,R10,R0402,
100n,C28,C0402,
R-78E3.3-0.5,IC1,WE78,
100k,R24,R0402,
56k,R17,R0402,
200k,R25,R0402,
100p,C38,C0402,
10k,R4,R0402,
WE-CBF_0603,L4,0603,
ESD,C55,C0603,
ESD,C58,C0603,
ESD,C60,C0603,
ESD,C54,C0603,
ESD,C57,C0603,
ESD,C56,C0603,
ESD,C61,C0603,
ESD,C59,C0603,
100,R5,R0402,
100,R6,R0402,
WE-CBF_0603,L5,0603,
22u,C13,C1206,
1.0n,C33,C0402,
1.0n,C35,C0402,
2.2k,R11,R0402,
2.2k,R12,R0402,
BAT54S,D3,SOT23,
MOUNT-HOLE,H3,"3,0TINY",
MOUNT-HOLE,H2,"3,0TINY",
M04PTH,JP6,1X04,
8MHz,Q1,CTS406,
M05X2SHD,JP8,2X5-SHROUDED,
M02PTH,JP5,1X02,
