"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C13,C2,C1";"C1206";3;"22u";;;
2;"R37,R11,R12";"R0402";3;"2.2k";;;
3;"R5,R6,R10,R9";"R0402";4;"100";;;
4;"JP3,JP1,JP4,JP2";"FIDUCIAL-1X2";4;"FIDUCIAL1X2";;;
5;"R14,R24,R13,R40,R41,R15,R38,R39";"R0402";8;"100k";;;
6;"C51,C26,C8,C6,C23,C36,C15,C37,C18,C53,C10,C52,C45,C28,C34,C32,C11,C12,C27,C17,C44,C20";"C0402";22;"100n";;;
7;"LED8,LED3,LED1,LED2,LED4,LED7,LED6,LED5";"LED-BICOLOR-THROUGHHOLE-LUMEX";8;"SSL-LX3059IGW-CA";;;
8;"C22,C16,C3,C7,C30";"PANASONIC_A";5;"10u";;;
9;"R3,R48,R21,R51,R49,R45,R16,R50,R4";"R0402";9;"10k";;;
10;"R7,R2,R1,R8";"ALPS_POT_VERTICAL_PS";4;"10kB";;;
11;"SW1,SW2";"TACTILE-PTH";2;"";;;
12;"D3";"SOT23";1;"BAT54S";;;
13;"R32,R19,R35";"R0402";3;"20k";;;
14;"C55,C56,C57,C61,C58,C59,C54,C60";"C0603";8;"ESD";;;
15;"J4,J2,J5,J8,J10,J6,J3,J1,J7,J9";"WQP_PJ_301M6";10;"PJ301_THONKICONN6";;;
16;"C31,C29";"C0805";2;"2.2u";;;
17;"L3,L4,L2,L5";"0603";4;"";;;
18;"C33,C40,C47,C49,C41,C39,C35,C48";"C0402";8;"1.0n";;;
19;"R22,R18,R28,R20,R31,R34";"R0402";6;"33k";;;
20;"R46,R47";"R0603";2;"1.0k";;;
21;"D2,D1";"SOD123";2;"1N5819HW";;;
22;"R27,R25,R30";"R0402";3;"200k";;;
23;"R36,R23,R33";"R0402";3;"120k";;;
24;"H2,H3";"3,0TINY";2;"MOUNT-HOLE";;;
25;"C38,C43,C46,C42";"C0402";4;"100p";;;
26;"IC8";"TSSOP08";1;"TL072PW";;;
27;"IC1";"WE78";1;"R-78E3.3-0.5";;;
28;"IC2";"TSSOP24_0635";1;"TLC59281DBQ";;;
29;"C14,C21";"C0402";2;"20p";;;
30;"IC5";"SSOP20";1;"PCM5100APW";;;
31;"R44,R43,R42";"ALPS_POT_VERTICAL";3;"10kB";;;
32;"C9,C50,C19,C24,C25";"C0402";5;"1u";;;
33;"R29";"R0402";1;"140k";;;
34;"IC9";"DBZ_R-PDSO-G3";1;"LM4040B10";;;
35;"L1";"L2012C";1;"33u";;;
36;"IC4";"LQFP48";1;"STM32F373CCT6";;;
37;"Q1";"CTS406";1;"8MHz";;;
38;"IC7,IC6";"TSSOP14_065";2;"MCP6004";;;
39;"C4,C5";"PANASONIC_B";2;"22u";;;
40;"R17";"R0402";1;"56k";;;
41;"IC3";"SOT89";1;"LD2981ABU33";;;
42;"R26";"R0402";1;"110k";;;
43;"JP6";"1X04";1;"";;;
44;"JP8";"2X5-SHROUDED";1;"M05X2SHD";;;
45;"U$3";"CE_MEDIUM";1;"";;;
46;"U$2";"ROHS_BIG";1;"";;;
47;"JP5";"1X02";1;"";;;
48;"U$1";"FCC_MEDIUM";1;"";;;
