Comment,Designator,Footprint,LCSC
8MHz,Q1,HC49UP,
18p,C4,C0603,
,SW3,EVQ-Q2,
10k,R6,R0603,
18p,C5,C0603,
,SW4,EVQ-Q2,
10k,R7,R0603,
1u,C18,C0603,
100n,C11,C0603,
100n,C20,C0603,
100n,C9,C0603,
1u,C7,C0603,
1u,C30,C0603,
100n,C31,C0603,
M05X2MINIJTAG,JP1,2X5-1.27,
100n,C10,C0603,
STM32F405RGT6,IC2,TQFP-10X10-64,
2.2u,C16,C0805,
2.2u,C22,C0805,
100n,C27,C0603,
,JP2,1X06,
MCP6004,IC7,SO14,
100k,R19,R0603,
20k,R18,R0603,
120k,R20,R0603,
10n,C26,C0603,
100k,R22,R0603,
20k,R26,R0603,
120k,R24,R0603,
2.2n,C29,C0603,
100k,R21,R0603,
20k,R25,R0603,
120k,R23,R0603,
10n,C28,C0603,
100k,R34,R0603,
20k,R31,R0603,
10n,C36,C0603,
LM4040B10,IC3,DBZ_R-PDSO-G3,
2.2k,R12,R0603,
100n,C15,C0603,
47u,C8,PANASONIC_D,
100n,C6,C0603,
LM1117-3.3,IC1,TO252,
1N5819HW,D1,SOD123,
1N5819HW,D2,SOD123,
M05X2PTH,JP3,AVR_ICSP,
120k,R36,R0603,
100n,C37,C0603,
WM8731,IC6,SSOP28,
,L3,0603,
100n,C35,C0603,
10u,C34,PANASONIC_A,
36k,R27,R0603,
36k,R54,R0603,
6.8k,R51,R0603,
220p,C49,C0603,
10u,C40,PANASONIC_A,
10u,C33,PANASONIC_A,
47k,R38,R0603,
6.8k,R43,R0603,
TL072,IC8,SO08,
47k,R42,R0603,
18p,C43,C0603,
1.0k,R56,R0603,
10u,C32,PANASONIC_A,
47k,R33,R0603,
6.8k,R40,R0603,
47k,R41,R0603,
18p,C42,C0603,
1.0k,R55,R0603,
100n,C39,C0603,
100n,C45,C0603,
2.2k,R16,R0603,
2.2k,R17,R0603,
100n,C25,C0603,
10kB,R45,ALPS_POT_VERTICAL,
PJ301_THONKICONN6,J8,WQP_PJ_301M6,
PJ301_THONKICONN6,J10,WQP_PJ_301M6,
PJ301_THONKICONN6,J9,WQP_PJ_301M6,
PJ301_THONKICONN6,J1,WQP_PJ_301M6,
PJ301_THONKICONN6,J2,WQP_PJ_301M6,
PJ301_THONKICONN6,J3,WQP_PJ_301M6,
PJ301_THONKICONN6,J4,WQP_PJ_301M6,
10kB,R46,ALPS_POT_VERTICAL,
10kB,R28,ALPS_POT_VERTICAL_PS,
,SW1,TACTILE-PTH,
4.7,R2,R1206,
47u,C2,PANASONIC_D,
47u,C3,PANASONIC_D,
22u,C1,PANASONIC_C,
FIDUCIAL1X2,F1,FIDUCIAL-1X2,
FIDUCIAL1X2,F4,FIDUCIAL-1X2,
FIDUCIAL1X2,F2,FIDUCIAL-1X2,
FIDUCIAL1X2,F3,FIDUCIAL-1X2,
10kB,R47,ALPS_POT_VERTICAL,
10kB,R48,ALPS_POT_VERTICAL,
10kB,R49,ALPS_POT_VERTICAL,
10kB,R9,ALPS_POT_VERTICAL_PS,
10kB,R29,ALPS_POT_VERTICAL_PS,
10kB,R10,ALPS_POT_VERTICAL_PS,
10kB,R30,ALPS_POT_VERTICAL_PS,
100k,R14,R0603,
47k,R13,R0603,
180k,R15,R0603,
2.2n,C14,C0603,
PJ301_THONKICONN6,J7,WQP_PJ_301M6,
100k,R35,R0603,
20k,R32,R0603,
10n,C38,C0603,
120k,R37,R0603,
PJ301_THONKICONN6,J5,WQP_PJ_301M6,
100n,C19,C0603,
,SW2,TACTILE-PTH,
WP115VEGW,LED2,LED-BICOLOR-THROUGHHOLE,
WP115VEGW,LED1,LED-BICOLOR-THROUGHHOLE,
180,R4,R0603,
180,R5,R0603,
180,R3,R0603,
180,R1,R0603,
4051PW,IC4,TSSOP16,
100n,C13,C0603,
10u,C21,PANASONIC_A,
10u,C41,PANASONIC_A,
12.288MHz,Q3,HC49UP,
18p,C23,C0603,
18p,C24,C0603,
47k,R44,R0603,
47k,R39,R0603,
PJ301_THONKICONN6,J6,WQP_PJ_301M6,
MCP6002,IC5,SO08,
MMBT3904,Q2,SOT23-BEC,
100k,R11,R0603,
10k,R8,R0603,
1M,R53,R0603,
BAT54S,D3,SOT23,
100k,R52,R0603,
,L1,0603,
,L2,0603,
100n,C48,C0603,
10u,C46,PANASONIC_A,
100n,C47,C0603,
100n,C44,C0603,
100n,C17,C0603,
10u,C12,PANASONIC_A,
3.3M,R50,R0603,
470k,R57,R0603,
SOLDERJUMPERNC2,SJ1,SJ_2S-NOTRACE,
