Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22u,PANASONIC_C,148.1836,-62.7761,180.0,top
C2,47u,PANASONIC_D,131.3561,-64.0461,90.0,top
C3,47u,PANASONIC_D,138.6586,-64.0461,90.0,top
C4,18p,C0603,144.0561,-65.6336,-90.0,top
C5,18p,C0603,157.7086,-65.6336,-90.0,top
C6,100n,C0603,124.6886,-71.0311,0.0,top
C7,1u,C0603,145.3261,-71.9836,180.0,top
C8,47u,PANASONIC_D,119.6086,-73.5711,0.0,top
C9,100n,C0603,145.3261,-73.2536,180.0,top
C10,100n,C0603,155.8036,-75.7935,0.0,top
C11,100n,C0603,140.8812,-76.8731,90.0,top
C12,10u,PANASONIC_A,174.8536,-79.9211,-90.0,top
C13,100n,C0603,177.3936,-80.5561,90.0,top
C14,2.2n,C0603,118.6561,-81.8261,90.0,top
C15,100n,C0603,125.9586,-82.4611,0.0,top
C16,2.2u,C0805,140.8811,-83.7311,90.0,top
C17,100n,C0603,154.8511,-86.5886,-90.0,top
C18,1u,C0603,156.1211,-86.5886,-90.0,top
C19,100n,C0603,118.0211,-87.8586,-90.0,top
C20,100n,C0603,142.7861,-86.9061,-90.0,top
C21,10u,PANASONIC_A,165.9636,-88.1761,-90.0,top
C22,2.2u,C0805,152.6286,-89.1286,0.0,top
C23,18p,C0603,169.1386,-90.0811,180.0,top
C24,18p,C0603,178.3461,-90.0811,0.0,top
C25,100n,C0603,166.2811,-91.3511,0.0,top
C26,10n,C0603,120.2436,-93.5736,-90.0,top
C27,100n,C0603,152.9461,-92.9386,180.0,top
C28,10n,C0603,132.6261,-96.1136,180.0,top
C29,2.2n,C0603,138.9761,-96.1136,0.0,top
C30,1u,C0603,153.8986,-98.3361,-90.0,top
C31,100n,C0603,155.1686,-98.3361,-90.0,top
C32,10u,PANASONIC_A,155.4861,-105.0036,90.0,top
C33,10u,PANASONIC_A,159.9311,-105.0036,90.0,top
C34,10u,PANASONIC_A,164.3761,-105.0036,90.0,top
C35,100n,C0603,166.9161,-105.0036,-90.0,top
C36,10n,C0603,132.6261,-106.9086,180.0,top
C37,100n,C0603,135.8011,-106.9086,0.0,top
C38,10n,C0603,138.9761,-106.9086,0.0,top
C39,100n,C0603,161.2011,-111.3536,0.0,top
C40,10u,PANASONIC_A,167.5511,-111.3536,90.0,top
C41,10u,PANASONIC_A,143.1036,-112.3061,90.0,top
C42,18p,C0603,150.7236,-112.3061,90.0,top
C43,18p,C0603,160.2486,-113.5761,90.0,top
C44,100n,C0603,175.4886,-114.8461,0.0,top
C45,100n,C0603,149.7711,-115.1636,0.0,top
C46,10u,PANASONIC_A,129.1336,-128.8161,-90.0,top
C47,100n,C0603,169.7736,-129.1336,90.0,top
C48,100n,C0603,126.5936,-131.0386,-90.0,top
C49,220p,C0603,151.6761,-144.6911,180.0,top
D1,1N5819HW,SOD123,132.9436,-57.0611,90.0,top
D2,1N5819HW,SOD123,152.9461,-57.0611,-90.0,top
D3,BAT54S,SOT23,141.8336,-105.3211,180.0,top
F1,FIDUCIAL1X2,FIDUCIAL-1X2,115.4811,-53.2511,0.0,top
