Comment,Designator,Footprint,LCSC
33u,L1,L2012C,
3BC-F,LED6,LED3MM,
1.0k,R66,R0402,
100k,R15,R0402,
100n,C30,C0402,
47p,C38,C0402,
W115WSURKMGKW,LED2,LED-BICOLOR-THROUGHHOLE-2.54,
22u,C19,C1206,
1.5k,R2,R0402,
100,R9,R0402,
100k,R17,R0402,
130k,R39,R0402,
20p,C11,C0402,
22u,C24,PANASONIC_B,
3BC-F,LED7,LED3MM,
10kB,R58,ALPS_POT_VERTICAL,
100k,R35,R0402,
20k,R41,R0402,
47p,C39,C0402,
10kB,R22,ALPS_POT_VERTICAL_PS,
100n,C5,C0402,
WE-CBF_0603,L3,0603,
1.0n,C32,C0402,
100n,C22,C0402,
FIDUCIAL1X2,JP3,FIDUCIAL-1X2,
100n,C45,C0402,
FIDUCIAL1X2,JP4,FIDUCIAL-1X2,
100n,C53,C0402,
120k,R21,R0402,
1u,C42,C0402,
1u,C1,C0402,
10kB,R57,ALPS_POT_VERTICAL,
1.0k,R65,R0402,
1.0n,C46,C0402,
100n,C33,C0402,
MCP6004,IC7,TSSOP14_065,
TAC_SWITCHPTH,SW3,TACTILE-PTH,
100n,C55,C0402,
1.0n,C47,C0402,
1.0n,C41,C0402,
20k,R32,R0402,
130k,R28,R0402,
100n,C23,C0402,
390k,R26,R0402,
120k,R51,R0402,
10k,R61,R0402,
PJ301_THONKICONN6,J8,WQP_PJ_301M6,
2.4k,R13,R0402,
100p,C27,C0402,
130k,R38,R0402,
22u,C26,PANASONIC_B,
8MHz,Q1,CTS406,
100n,C7,C0402,
1.5k,R6,R0402,
TVS,D7,0603,
100n,C15,C0402,
PJ301_THONKICONN6,J9,WQP_PJ_301M6,
100n,C14,C0402,
1.0k,R49,R0603,
TVS,D5,0603,
10k,R62,R0402,
100,R5,R0402,
100k,R30,R0402,
130k,R42,R0402,
1.0n,C56,C0402,
390k,R44,R0402,
TVS,D8,0603,
1N5819HW,D1,SOD123,
1.0k,R47,R0603,
100n,C17,C0402,
100n,C54,C0402,
PJ301_THONKICONN6,J12,WQP_PJ_301M6,
TLV4172,IC8,SOIC-14_3.9x8.7mm_P1.27mm,
LD2981ABU33,IC5,SOT89,
PJ301_THONKICONN6,J3,WQP_PJ_301M6,
10u,C50,PANASONIC_A,
PJ301_THONKICONN6,J11,WQP_PJ_301M6,
47p,C37,C0402,
100n,C52,C0402,
PJ301_THONKICONN6,J2,WQP_PJ_301M6,
TVS,D4,0603,
1u,C13,C0402,
STM32F373CCT6,IC1,LQFP48,
22u,C20,C1206,
100n,C8,C0402,
1u,C18,C0402,
120k,R20,R0402,
100k,R54,R0402,
20p,C4,C0402,
FIDUCIAL1X2,JP1,FIDUCIAL-1X2,
130k,R14,R0402,
PJ301_THONKICONN6,J1,WQP_PJ_301M6,
20k,R27,R0402,
130k,R40,R0402,
100n,C34,C0402,
PJ301_THONKICONN6,J10,WQP_PJ_301M6,
10u,C10,PANASONIC_A,
PJ301_THONKICONN6,J5,WQP_PJ_301M6,
10kB,R60,ALPS_POT_VERTICAL,
TLV4172,IC9,SOIC-14_3.9x8.7mm_P1.27mm,
100n,C44,C0402,
1.0k,R45,R0603,
100k,R36,R0402,
TVS,D6,0603,
120k,R25,R0402,
100n,C48,C0402,
100k,R16,R0402,
47p,C40,C0402,
LM4040B10,IC10,DBZ_R-PDSO-G3,
TAC_SWITCHPTH,SW2,TACTILE-PTH,
1.5k,R46,R0402,
2.4k,R7,R0402,
W115WSURKMGKW,LED3,LED-BICOLOR-THROUGHHOLE-2.54,
BAT54S,D2,SOT23,
10u,C29,PANASONIC_A,
100,R4,R0402,
100p,C36,C0402,
1.0k,R48,R0603,
10kB,R59,ALPS_POT_VERTICAL,
3BC-F,LED5,LED3MM,
PJ301_THONKICONN6,J7,WQP_PJ_301M6,
W115WSURKMGKW,LED1,LED-BICOLOR-THROUGHHOLE-2.54,
100n,C51,C0402,
TAC_SWITCHPTH,SW1,TACTILE-PTH,
100k,R29,R0402,
120k,R43,R0402,
1.0n,C28,C0402,
FIDUCIAL1X2,JP2,FIDUCIAL-1X2,
130k,R37,R0402,
10kB,R11,ALPS_POT_VERTICAL_PS,
1N5819HW,D3,SOD123,
1.0k,R67,R0402,
100,R8,R0402,
20k,R34,R0402,
10kB,R23,ALPS_POT_VERTICAL_PS,
