Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1u,C0402,144.0461,-57.21985,0.0,top
C2,100n,C0402,151.9837,-57.53695,180.0,top
C3,100n,C0402,144.0462,-58.33105,0.0,top
C4,20p,C0402,136.1084,-59.12485,180.0,top
C5,100n,C0402,131.1875,-62.45845,0.0,top
C6,100n,C0402,157.381,-64.04605,180.0,top
C7,100n,C0402,168.15,-65.43,-90.0,top
C8,100n,C0402,140.8712,-65.63345,90.0,top
C9,10u,PANASONIC_B,163.7311,-66.10975,-90.0,top
C10,10u,PANASONIC_B,170.93,-66.10985,90.0,top
C11,20p,C0402,137.3784,-66.90355,0.0,top
C12,1u,C0402,139.9189,-67.22135,180.0,top
C13,1u,C0402,151.5835,-68.33265,0.0,top
C14,100n,C0402,151.5835,-69.28485,0.0,top
C15,100n,C0402,145.9511,-71.18995,-90.0,top
C16,1u,C0402,144.3636,-71.50765,-90.0,top
C17,100n,C0402,158.6512,-73.09475,0.0,top
C18,1u,C0402,158.4924,-74.68235,0.0,top
C19,22u,C1206,176.4311,-75.63485,180.0,top
C20,22u,C1206,176.4311,-78.17485,180.0,top
C21,1u,C0402,158.4924,-78.96835,0.0,top
C22,100n,C0402,128.8061,-83.57235,180.0,top
C23,100n,C0402,165.3185,-83.57235,180.0,top
C24,22u,PANASONIC_B,169.81,-86.79,90.0,top
C25,22u,C1206,163.4136,-88.33485,0.0,top
C26,22u,PANASONIC_B,169.83,-92.76,90.0,top
C27,100p,C0402,133.7275,-94.84365,0.0,top
C28,1.0n,C0402,139.7599,-94.84375,180.0,top
C29,10u,PANASONIC_B,163.67,-97.22,0.0,top
C30,100n,C0402,131.8223,-98.17735,180.0,top
C31,100p,C0402,133.7275,-101.35225,0.0,top
C32,1.0n,C0402,139.7598,-101.35235,180.0,top
C33,100n,C0402,162.7462,-102.3125,-90.0,top
C34,100n,C0402,155.7537,-102.4713,-90.0,top
C35,100n,C0402,147.1,-105.79735,180.0,top
C36,100p,C0402,133.7273,-106.74985,0.0,top
C37,47p,C0402,154.0075,-103.9,180.0,top
C38,47p,C0402,157.4999,-103.899999,0.0,top
C39,47p,C0402,161.0,-103.9,180.0,top
C40,47p,C0402,164.4925,-103.9,0.0,top
C41,1.0n,C0402,139.76,-106.74995,180.0,top
C42,1u,C0402,145.7,-108.2,0.0,top
C43,100n,C0402,131.8224,-109.92485,180.0,top
C44,100n,C0402,124.0436,-110.87735,180.0,top
C45,100n,C0402,171.6686,-110.87735,180.0,top
C46,1.0n,C0402,133.7273,-113.09995,0.0,top
C47,1.0n,C0402,139.76,-113.09995,180.0,top
