"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"L1";"L2012C";1;"33u";;;
2;"LED6,LED7,LED5,LED4";"LED3MM";4;"3BC-F";;;
3;"R66,R65,R67,R64";"R0402";4;"1.0k";;;
4;"R15,R17,R35,R30,R54,R36,R16,R29,R55";"R0402";9;"100k";;;
5;"C30,C5,C22,C45,C53,C33,C55,C23,C7,C15,C14,C17,C54,C52,C8,C34,C44,C48,C51,C6,C2,C3,C43,C35,C49";"C0402";25;"100n";;;
6;"C38,C39,C37,C40";"C0402";4;"47p";;;
7;"LED2,LED3,LED1";"LED-BICOLOR-THROUGHHOLE-2.54";3;"W115WSURKMGKW";;;
8;"C19,C20,C25";"C1206";3;"22u";;;
9;"R2,R6,R46,R10";"R0402";4;"1.5k";;;
10;"R9,R5,R4,R8";"R0402";4;"100";;;
11;"R39,R28,R38,R42,R14,R40,R37";"R0402";7;"130k";;;
12;"C11,C4";"C0402";2;"20p";;;
13;"C24,C26";"PANASONIC_B";2;"22u";;;
14;"R58,R57,R60,R59,R56";"ALPS_POT_VERTICAL";5;"10kB";;;
15;"R41,R32,R27,R34,R31,R18,R33,R19,R52";"R0402";9;"20k";;;
16;"R22,R11,R23,R24,R12";"ALPS_POT_VERTICAL_PS";5;"10kB";;;
17;"L3,L4,L2";"0603";3;"WE-CBF_0603";;;
18;"C32,C46,C47,C41,C56,C28";"C0402";6;"1.0n";;;
19;"JP3,JP4,JP1,JP2";"FIDUCIAL-1X2";4;"FIDUCIAL1X2";;;
20;"R21,R51,R20,R25,R43";"R0402";5;"120k";;;
21;"C42,C1,C13,C18,C21,C16,C12";"C0402";7;"1u";;;
22;"IC7,IC6";"TSSOP14_065";2;"MCP6004";;;
23;"SW3,SW2,SW1";"TACTILE-PTH";3;"TAC_SWITCHPTH";;;
24;"R26,R44";"R0402";2;"390k";;;
25;"R61,R62,R63,R3";"R0402";4;"10k";;;
26;"J8,J9,J12,J3,J11,J2,J1,J10,J5,J7,J4,J6";"WQP_PJ_301M6";12;"PJ301_THONKICONN6";;;
27;"R13,R7,R1";"R0402";3;"2.4k";;;
28;"C27,C36,C31";"C0402";3;"100p";;;
29;"Q1";"CTS406";1;"8MHz";;;
30;"D7,D5,D8,D4,D6,D10,D9,D11";"0603";8;"TVS";;;
31;"R49,R47,R45,R48";"R0603";4;"1.0k";;;
32;"D1,D3";"SOD123";2;"1N5819HW";;;
33;"IC8,IC9";"SOIC-14_3.9x8.7mm_P1.27mm";2;"TLV4172";;;
34;"IC5";"SOT89";1;"LD2981ABU33";;;
35;"C50,C10,C29,C9";"PANASONIC_A";4;"10u";;;
36;"IC1";"LQFP48";1;"STM32F373CCT6";;;
37;"IC10";"DBZ_R-PDSO-G3";1;"LM4040B10";;;
38;"D2";"SOT23";1;"BAT54S";;;
39;"IC3";"WE78";1;"R-78E3.3-0.5";;;
40;"IC4";"TSSOP-16_4.4x5mm_P0.65mm";1;"DAC8565";;;
41;"IC2";"TSSOP16_065";1;"4051PW";;;
42;"R53";"R0402";1;"33k";;;
43;"R50";"R0402";1;"140k";;;
44;"JP7";"1X02";1;"M02PTH";;;
45;"JP6";"1X04";1;"M04PTH";;;
46;"JP5";"2X5-SHROUDED";1;"M05X2SHD";;;
