Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,47u,PANASONIC_D,131.9911,-56.7436,180.0,top
C2,47u,PANASONIC_D,159.2961,-56.7436,180.0,top
C3,47u,PANASONIC_D,131.9911,-64.0461,180.0,top
C4,47u,PANASONIC_D,159.2961,-64.0461,180.0,top
C5,100n,C0603,154.5336,-64.9986,-90.0,top
C6,100n,C0603,132.9436,-71.3486,90.0,top
C7,4.7n,C0603,130.0861,-79.6036,180.0,top
C8,4.7n,C0603,136.4361,-79.6036,0.0,top
C9,100n,C0603,144.0561,-80.5561,-90.0,top
C10,18p,C0603,147.947309,-89.1,-90.0,top
C11,18p,C0603,154.452691,-89.1,90.0,top
C12,4.7n,C0603,130.0861,-90.3986,180.0,top
C13,100n,C0603,133.2611,-90.3986,0.0,top
C14,4.7n,C0603,136.4361,-90.3986,0.0,top
C15,1u,C0603,143.7386,-90.7161,90.0,top
C16,100n,C0603,146.9136,-92.3036,0.0,top
C17,100n,C0603,155.1686,-95.161,0.0,top
C18,100n,C0603,139.1031,-97.066,180.0,top
C19,2.2u,C0805,139.6111,-103.7336,180.0,top
C20,100n,C0603,141.1986,-105.3211,180.0,top
C21,100n,C0603,153.8351,-107.5436,0.0,top
C22,2.2u,C0805,152.3111,-109.1311,0.0,top
C23,10u,PANASONIC_B,170.0,-111.25,-90.0,top
C24,100n,C0603,165.6,-116.0,0.0,top
C25,100n,C0603,166.2811,-113.2586,-90.0,top
C26,18p,C0603,169.75,-115.5,180.0,top
C27,1u,C0603,152.9461,-116.1161,-90.0,top
C28,100n,C0603,154.2161,-116.1161,-90.0,top
C29,10u,PANASONIC_B,151.6761,-121.8311,0.0,top
C30,100n,C0603,155.5,-122.6,-90.0,top
C31,100n,C0603,139.6111,-122.4661,-90.0,top
C32,10u,PANASONIC_B,152.25,-127.5,90.0,top
C33,100n,C0603,129.4511,-125.9586,-90.0,top
C34,100n,C0603,148.4525,-125.5,0.0,top
C35,18p,C0603,136.7536,-126.9111,90.0,top
C36,10u,PANASONIC_B,161.25,-127.5,90.0,top
C37,10u,PANASONIC_B,170.25,-127.5,90.0,top
C38,18p,C0603,147.5,-128.075,90.0,top
C39,10u,PANASONIC_B,156.75,-127.5,90.0,top
C40,100n,C0603,135.8011,-129.7686,0.0,top
C41,18p,C0603,169.75,-123.5,0.0,top
C42,100n,C0603,160.0,-131.5,0.0,top
C43,10u,PANASONIC_B,165.75,-127.5,90.0,top
C44,220p,C0603,144.3736,-145.6436,-90.0,top
C45,220p,C0603,152.6286,-145.6436,-90.0,top
D1,1N5819HW,SOD123,138.6586,-59.1326,0.0,top
