"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"SW1,SW2";"k2-1808 pushbutton switch";2;"EVQQ2";;;
2;"C38,C10,C26,C41,C11,C35";"C0603";6;"18p";;;
3;"IC6";"SO08";1;"TL072";;;
4;"C20,C5,C31,C40,C21,C42,C30,C24,C25,C34,C13,C17,C6,C18,C9,C28,C16,C33";"C0603";18;"100n";;;
5;"R25,R24";"R0603";2;"2.2k";;;
6;"R20,R32,R35,R19";"R0603";4;"200k";;;
7;"C1,C4,C2,C3";"PANASONIC_D";4;"47u";;;
8;"R18,R9,R17,R8";"R0603";4;"100k";;;
9;"TP2,TP1,TP4,TP3";"PAD.03X.05";4;"TEST-POINT3X5";;;
10;"Q2";"Crystal_SMD_5032-4Pin_5.0x3.2mm";1;"12.288MHz";;;
11;"LED2";"LED-BICOLOR-THROUGHHOLE";1;"WP115VEGW";;;
12;"R6";"R0603";1;"4.7k";;;
13;"J2,J3,J6,J1,J7,J4,J5,J8";"WQP_PJ_301M6";8;"PJ301_THONKICONN6";;;
14;"D2,D1";"SOD123";2;"1N5819HW";;;
15;"R5,R3,R4";"R0603";3;"100";;;
16;"R1";"R1206";1;"4.7";;;
17;"IC5";"QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm";1;"WM8731";;;
18;"R33,R30,R31,R28";"R0603";4;"47k";;;
19;"C15,C27";"C0603";2;"1u";;;
20;"R16,R15";"R0603";2;"33k";;;
21;"C14,C12,C8,C7";"C0603";4;"4.7n";;;
22;"IC3";"SO14";1;"MCP6004";;;
23;"R26,R27";"ALPS_POT_VERTICAL";2;"10kB";;;
24;"F4,F1,F3,F2";"FIDUCIAL-1X2";4;"FIDUCIAL1X2";;;
25;"R2,R14";"R0603";2;"10k";;;
26;"R41,R40";"R0603";2;"DNP";;;
27;"R43,R42";"R0603";2;"1.0k";;;
28;"C19,C22";"C0805";2;"2.2u";;;
29;"R37,R12,R38,R13";"R0603";4;"36k";;;
30;"Q1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"8MHz";;;
31;"C39,C29,C23,C43,C36,C32,C37";"PANASONIC_B";7;"10u";;;
32;"C44,C45";"C0603";2;"220p";;;
33;"R23,R7";"ALPS_POT_VERTICAL_PS";2;"10kB";;;
34;"R34,R39,R29,R36";"R0603";4;"6.8k";;;
35;"D3";"SOT23";1;"BAT54S";;;
36;"IC2";"DBZ_R-PDSO-G3";1;"LM4040B10";;;
37;"R10,R11";"R0603";2;"120k";;;
38;"LED1";"LED-TRICOLOR-THROUGHHOLE";1;"WP154A4SUREQBFZG";;;
39;"SW3";"TACTILE-PTH";1;"TAC_SWITCHPTH";;;
40;"L2,L1,L3";"0603";3;"WE-CBF_0603";;;
41;"IC4";"TQFP-10X10-64";1;"STM32F405RGT6";;;
42;"R22,R21";"R0603";2;"180";;;
43;"IC1";"TO252";1;"LM1117-3.3";;;
44;"JP1";"2X5-1.27";1;"M05X2MINIJTAG";;;
45;"JP3";"AVR_ICSP";1;"M05X2PTH";;;
46;"JP2";"1X06";1;"M06SIP";;;
